danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.536,0.774,8,-5.299,1,0.199,0.168,0.0,0.135,0.154,179.958,audio_features,3HeXCbdoJm2MWgJNeDq6xW,spotify:track:3HeXCbdoJm2MWgJNeDq6xW,https://api.spotify.com/v1/tracks/3HeXCbdoJm2MWgJNeDq6xW,https://api.spotify.com/v1/audio-analysis/3HeXCbdoJm2MWgJNeDq6xW,165460,4
0.726,0.558,8,-11.416,0,0.0606,0.0635,1.51e-05,0.102,0.516,120.104,audio_features,41oL13Mzfr8CGK24LQcmSR,spotify:track:41oL13Mzfr8CGK24LQcmSR,https://api.spotify.com/v1/tracks/41oL13Mzfr8CGK24LQcmSR,https://api.spotify.com/v1/audio-analysis/41oL13Mzfr8CGK24LQcmSR,220000,4
0.679,0.819,7,-5.354,1,0.0455,0.521,0.0,0.22,0.497,119.982,audio_features,2J9B5SM6gGPgdhiXAiXO5U,spotify:track:2J9B5SM6gGPgdhiXAiXO5U,https://api.spotify.com/v1/tracks/2J9B5SM6gGPgdhiXAiXO5U,https://api.spotify.com/v1/audio-analysis/2J9B5SM6gGPgdhiXAiXO5U,198010,4
0.6,0.613,8,-8.239,0,0.0367,0.286,0.0,0.0546,0.57,76.03,audio_features,300yg7OJQ16BK0FLUDv8An,spotify:track:300yg7OJQ16BK0FLUDv8An,https://api.spotify.com/v1/tracks/300yg7OJQ16BK0FLUDv8An,https://api.spotify.com/v1/audio-analysis/300yg7OJQ16BK0FLUDv8An,211277,4
0.577,0.395,10,-7.917,0,0.0304,0.767,4.28e-06,0.111,0.309,134.906,audio_features,4YPkPVuczXHWPo90vtygSi,spotify:track:4YPkPVuczXHWPo90vtygSi,https://api.spotify.com/v1/tracks/4YPkPVuczXHWPo90vtygSi,https://api.spotify.com/v1/audio-analysis/4YPkPVuczXHWPo90vtygSi,198902,4
0.767,0.849,2,-7.164,1,0.0512,0.0162,2.58e-05,0.0688,0.963,111.989,audio_features,7Cx2SysXvUGV2BK95jG3zj,spotify:track:7Cx2SysXvUGV2BK95jG3zj,https://api.spotify.com/v1/tracks/7Cx2SysXvUGV2BK95jG3zj,https://api.spotify.com/v1/audio-analysis/7Cx2SysXvUGV2BK95jG3zj,186720,4
0.4,0.645,2,-6.679,1,0.0429,0.29,3.64e-05,0.0832,0.487,89.351,audio_features,4nAE5UQFlXguukpVQoX7E4,spotify:track:4nAE5UQFlXguukpVQoX7E4,https://api.spotify.com/v1/tracks/4nAE5UQFlXguukpVQoX7E4,https://api.spotify.com/v1/audio-analysis/4nAE5UQFlXguukpVQoX7E4,202293,4
0.531,0.558,11,-9.597,0,0.062,0.0377,0.000421,0.117,0.143,164.003,audio_features,5881CrbzBj0PEJ1ZM7Beut,spotify:track:5881CrbzBj0PEJ1ZM7Beut,https://api.spotify.com/v1/tracks/5881CrbzBj0PEJ1ZM7Beut,https://api.spotify.com/v1/audio-analysis/5881CrbzBj0PEJ1ZM7Beut,264893,4
0.419,0.41,0,-8.797,1,0.0314,0.986,0.307,0.115,0.0888,107.823,audio_features,6Gc63GZO3MoA61jtDcsKmQ,spotify:track:6Gc63GZO3MoA61jtDcsKmQ,https://api.spotify.com/v1/tracks/6Gc63GZO3MoA61jtDcsKmQ,https://api.spotify.com/v1/audio-analysis/6Gc63GZO3MoA61jtDcsKmQ,108000,4
0.332,0.329,9,-12.723,0,0.0463,0.674,2.56e-05,0.102,0.162,185.162,audio_features,4A5p0Jl1jF2F9XGE6lrom1,spotify:track:4A5p0Jl1jF2F9XGE6lrom1,https://api.spotify.com/v1/tracks/4A5p0Jl1jF2F9XGE6lrom1,https://api.spotify.com/v1/audio-analysis/4A5p0Jl1jF2F9XGE6lrom1,279677,3
