Rank,Song,Artist,Spotify Link
67,"""All I Want for Christmas Is You""",Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
68,"""One of Them Girls""",Lee Brice,https://open.spotify.com/track/6uyiyatWPCqC59Mm4rO8xL
69,"""Hard to Forget""",Sam Hunt,https://open.spotify.com/track/10xuH52YSXHWFwCaF1fsDd
70,"""One Margarita""",Luke Bryan,https://open.spotify.com/track/1Y3TlYJNhIa7k4YAvFkJAB
71,"""Panini""",Lil Nas X,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
72,"""Hot""",Young Thug featuring Gunna,
73,"""I Hope You're Happy Now""",Carly Pearce and Lee Brice,https://open.spotify.com/track/5Jbwsh74ggk2aAHF2MtoRG
74,"""Emotionally Scarred""",Lil Baby,https://open.spotify.com/track/7ge7BHazYbVKi8qyZUX1Bm
75,"""Suicidal""",YNW Melly featuring Juice Wrld,
76,"""The Bigger Picture""",Lil Baby,https://open.spotify.com/track/44gRhRi2OhEf7moAUj6MD1
77,"""Only Human""",Jonas Brothers,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
78,"""The Woo""",Pop Smoke featuring 50 Cent and Roddy Ricch,
79,"""Sum 2 Prove""",Lil Baby,https://open.spotify.com/track/5f4Hy5mw5SRaUgXX9c6P5S
80,"""Stuck with U""",Ariana Grande and Justin Bieber,
81,"""Mood Swings""",Pop Smoke featuring Lil Tjay,
82,"""You Should Be Sad""",Halsey,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
83,"""Dior""",Pop Smoke,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
84,"""Supalonely""",Benee featuring Gus Dapperton,
85,"""Even Though I'm Leaving""",Luke Combs,
86,"""The Scotts""",The Scotts (Travis Scott and Kid Cudi),
87,"""Juicy""",Doja Cat and Tyga,
88,"""Be Like That""","Kane Brown, Swae Lee and Khalid",https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
89,"""Homesick""",Kane Brown,https://open.spotify.com/track/30RZAuEkYeDXvy46Iv6l7E
90,"""Rags2Riches""",Rod Wave featuring ATR Son Son,
91,"""Bluebird""",Miranda Lambert,https://open.spotify.com/track/0kPeZAyIhIfeZNrtfjJGDB
92,"""Wishing Well""",Juice Wrld,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
93,"""Does to Me""",Luke Combs featuring Eric Church,
94,"""Pussy Fairy (OTW)""",Jhené Aiko,
95,"""ILY (I Love You Baby)""",Surf Mesa featuring Emilee,
96,"""More Than My Hometown""",Morgan Wallen,https://open.spotify.com/track/5OELUCYgOHKFAvCERnAvfS
97,"""Lovin' on You""",Luke Combs,https://open.spotify.com/track/0nYvjcSlCgjcwogQAwIwNp
98,"""Said Sum""",Moneybagg Yo,https://open.spotify.com/track/3sKz6Sd72K0ofPWcJPPk6H
99,"""Slide""",H.E.R. featuring YG,
100,"""Walk Em Down""",NLE Choppa featuring Roddy Ricch,
