Rank,Song,Artist,Spotify Link
1,"""Levitating""",Dua Lipa,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
2,"""Save Your Tears""",The Weeknd and Ariana Grande,
3,"""Blinding Lights""",The Weeknd,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,"""Mood""",24kGoldn featuring Iann Dior,
5,"""Good 4 U""",Olivia Rodrigo,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
6,"""Kiss Me More""",Doja Cat featuring SZA,
7,"""Leave the Door Open""",Silk Sonic (Bruno Mars and Anderson .Paak),
8,"""Drivers License""",Olivia Rodrigo,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
9,"""Montero (Call Me by Your Name)""",Lil Nas X,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
10,"""Peaches""",Justin Bieber featuring Daniel Caesar and Giveon,
11,"""Butter""",BTS,https://open.spotify.com/track/6jjYDGxVJsWS0a5wlVF5vS
12,"""Stay""",The Kid Laroi and Justin Bieber,
13,"""Deja Vu""",Olivia Rodrigo,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
14,"""Positions""",Ariana Grande,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
15,"""Bad Habits""",Ed Sheeran,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
16,"""Heat Waves""",Glass Animals,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
17,"""Without You""",The Kid Laroi,https://open.spotify.com/track/1KMkcUvF7m3SDChDOa7i5L
18,"""Forever After All""",Luke Combs,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew
19,"""Go Crazy""",Chris Brown and Young Thug,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
20,"""Astronaut in the Ocean""",Masked Wolf,https://open.spotify.com/track/3Ofmpyhv5UAQ70mENzB277
21,"""34+35""",Ariana Grande featuring Doja Cat and Megan Thee Stallion,
22,"""What You Know Bout Love""",Pop Smoke,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
23,"""My Ex's Best Friend""",Machine Gun Kelly featuring Blackbear,
24,"""Industry Baby""",Lil Nas X and Jack Harlow,
25,"""Therefore I Am""",Billie Eilish,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
26,"""Up""",Cardi B,https://open.spotify.com/track/1XXimziG1uhM0eDNCZCrUl
27,"""Fancy Like""",Walker Hayes,https://open.spotify.com/track/58UKC45GPNTflCN6nwCUeF
28,"""Dakiti""",Bad Bunny and Jhay Cortez,
29,"""Best Friend""",Saweetie featuring Doja Cat,
30,"""Rapstar""",Polo G,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
31,"""Heartbreak Anniversary""",Giveon,https://open.spotify.com/track/27tDoZsybt3KvJWTDoW9id
32,"""For the Night""",Pop Smoke featuring Lil Baby and DaBaby,
33,"""Calling My Phone""",Lil Tjay and 6lack,
34,"""Beautiful Mistakes""",Maroon 5 featuring Megan Thee Stallion,
35,"""Holy""",Justin Bieber featuring Chance the Rapper,
36,"""On Me""",Lil Baby,https://open.spotify.com/track/4Iedi94TIaB2GGb1nMB68v
