Rank,Song,Artist,Spotify Link
37,"""You Broke Me First""",Tate McRae,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
38,"""Traitor""",Olivia Rodrigo,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
39,"""Back in Blood""",Pooh Shiesty featuring Lil Durk,
40,"""I Hope""",Gabby Barrett featuring Charlie Puth,
41,"""Dynamite""",BTS,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
42,"""Wockesha""",Moneybagg Yo,https://open.spotify.com/track/0nqhKXDjsyBMvbeWmgijD0
43,"""You Right""",Doja Cat and the Weeknd,
44,"""Beat Box""",SpotemGottem featuring Pooh Shiesty or DaBaby,
45,"""Laugh Now Cry Later""",Drake featuring Lil Durk,
46,"""Need to Know""",Doja Cat,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
47,"""Wants and Needs""",Drake featuring Lil Baby,
48,"""Way 2 Sexy""",Drake featuring Future and Young Thug,
49,"""Telepatía""",Kali Uchis,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
50,"""Whoopty""",CJ,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
51,"""Lemonade""",Internet Money and Gunna featuring Don Toliver and Nav,
52,"""Good Days""",SZA,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
53,"""Starting Over""",Chris Stapleton,https://open.spotify.com/track/3K07bGe8iljQ3mOKArHLDo
54,"""Body""",Megan Thee Stallion,https://open.spotify.com/track/0A1hoCfMLkiAgvhWkkucJa
55,"""Willow""",Taylor Swift,https://open.spotify.com/track/0lx2cLdOt3piJbcaXIV74f
56,"""Bang!""",AJR,https://open.spotify.com/track/5FQPpxOXsvkMN6v18gtpwY
57,"""Better Together""",Luke Combs,https://open.spotify.com/track/6gdLyYNuhWBzqwlOFSsXC7
58,"""You're Mines Still""",Yung Bleu featuring Drake,
59,"""Every Chance I Get""",DJ Khaled featuring Lil Baby and Lil Durk,
60,"""Essence""",Wizkid featuring Justin Bieber and Tems,
61,"""Chasing After You""",Ryan Hurd and Maren Morris,
62,"""The Good Ones""",Gabby Barrett,https://open.spotify.com/track/3hLuHKzG1cmlRpq53ZVWd8
63,"""Leave Before You Love Me""",Marshmello and Jonas Brothers,https://open.spotify.com/track/7wwR2ge2lcLaMN2G8rEgTS
64,"""Glad You Exist""",Dan + Shay,https://open.spotify.com/track/3oV2RVOmwdWdf9BmGS4Oad
65,"""Lonely""",Justin Bieber and Benny Blanco,https://open.spotify.com/track/4fKiuIavbsoTRZ6R7xuAyT
66,"""Beggin'""",Måneskin,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
67,"""Streets""",Doja Cat,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
68,"""What's Next""",Drake,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
69,"""Famous Friends""",Chris Young and Kane Brown,
70,"""Lil Bit""",Nelly and Florida Georgia Line,https://open.spotify.com/track/5QQZGUyxNXa8EQeACBXRVy
71,"""Thot Shit""",Megan Thee Stallion,https://open.spotify.com/track/5zNW5ARjYhJQJz1AChP33n
72,"""Late at Night""",Roddy Ricch,https://open.spotify.com/track/6kksmL4t09IgxhajuVDDxR
73,"""Kings & Queens""",Ava Max,https://open.spotify.com/track/7a53HqqArd4b9NF4XAmlbI
74,"""Anyone""",Justin Bieber,https://open.spotify.com/track/0mKP26P4wWHY18hjtw4h9O
75,"""Track Star""",Mooski,https://open.spotify.com/track/5hChuUMe5iHfjkXgzj1D4b
76,"""Time Today""",Moneybagg Yo,https://open.spotify.com/track/0YrKSfpvflYnLSBd4Jtu6J
77,"""Cry Baby""",Megan Thee Stallion featuring DaBaby,
78,"""All I Want for Christmas Is You""",Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
79,"""No More Parties""",Coi Leray featuring Lil Durk,
80,"""What's Your Country Song""",Thomas Rhett,https://open.spotify.com/track/4oR2cCQGs0Yt0Mgr2diV6V
81,"""One Too Many""",Keith Urban and Pink,
82,"""Arcade""",Duncan Laurence,https://open.spotify.com/track/1Xi84slp6FryDSCbzq4UCD
83,"""Yonaguni""",Bad Bunny,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
84,"""Good Time""",Niko Moon,https://open.spotify.com/track/2S8UMuLJ0z8agFgFGJ6Ztt
85,"""If I Didn't Love You""",Jason Aldean and Carrie Underwood,
86,"""Knife Talk""",Drake featuring 21 Savage and Project Pat,
87,"""POV""",Ariana Grande,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
88,"""Just the Way""",Parmalee and Blanco Brown,
89,"""Take My Breath""",The Weeknd,https://open.spotify.com/track/2vgUijXOTRMnWXDtvgMp2b
90,"""We're Good""",Dua Lipa,
91,"""Hell of a View""",Eric Church,https://open.spotify.com/track/4mXGooManGPH6xAWRAtRJU
92,"""Rockin' Around the Christmas Tree""",Brenda Lee,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
93,"""Put Your Records On""",Ritt Momney,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
94,"""Happier Than Ever""",Billie Eilish,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
95,"""Single Saturday Night""",Cole Swindell,https://open.spotify.com/track/1irAliF0T8sLIOPJp6n7rU
96,"""Things a Man Oughta Know""",Lainey Wilson,https://open.spotify.com/track/5QS8PNEWbqTEZyQ6e9ZbJf
97,"""Throat Baby (Go Baby)""",BRS Kash,https://open.spotify.com/track/15C4TnrrVdym7UykxQIOTZ
98,"""Tombstone""",Rod Wave,https://open.spotify.com/track/3zc8VZEpM1onYV4FWGdFvm
99,"""Drinkin' Beer. Talkin' God. Amen.""",Chase Rice featuring Florida Georgia Line,
100,"""Todo de Ti""",Rauw Alejandro,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF
