danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.73,0.777,0,-6.465,1,0.0347,0.0116,1.69e-05,0.293,0.61,129.975,audio_features,4LiMpfZuz8ugtCkpvMfSWF,spotify:track:4LiMpfZuz8ugtCkpvMfSWF,https://api.spotify.com/v1/tracks/4LiMpfZuz8ugtCkpvMfSWF,https://api.spotify.com/v1/audio-analysis/4LiMpfZuz8ugtCkpvMfSWF,215499,4
0.323,0.176,4,-15.21,0,0.0311,0.713,0.0,0.453,0.223,83.586,audio_features,4WAsv01xtYtBH8PmqEugPQ,spotify:track:4WAsv01xtYtBH8PmqEugPQ,https://api.spotify.com/v1/tracks/4WAsv01xtYtBH8PmqEugPQ,https://api.spotify.com/v1/audio-analysis/4WAsv01xtYtBH8PmqEugPQ,186030,4
0.765,0.497,9,-8.471,1,0.0671,0.641,0.0,0.0729,0.267,110.083,audio_features,09JEXGZOC7FPP2asEvBsEh,spotify:track:09JEXGZOC7FPP2asEvBsEh,https://api.spotify.com/v1/tracks/09JEXGZOC7FPP2asEvBsEh,https://api.spotify.com/v1/audio-analysis/09JEXGZOC7FPP2asEvBsEh,143726,4
0.467,0.841,9,-3.35,1,0.134,0.0301,9.33e-05,0.0822,0.157,175.928,audio_features,2vvWHn1NCRH59DEANAsPsf,spotify:track:2vvWHn1NCRH59DEANAsPsf,https://api.spotify.com/v1/tracks/2vvWHn1NCRH59DEANAsPsf,https://api.spotify.com/v1/audio-analysis/2vvWHn1NCRH59DEANAsPsf,164754,4
0.658,0.428,4,-12.44,1,0.0342,0.0696,0.000117,0.0922,0.363,149.984,audio_features,7DltuYsP7IOda9QFlonrOm,spotify:track:7DltuYsP7IOda9QFlonrOm,https://api.spotify.com/v1/tracks/7DltuYsP7IOda9QFlonrOm,https://api.spotify.com/v1/audio-analysis/7DltuYsP7IOda9QFlonrOm,222400,4
0.553,0.463,0,-7.69,1,0.0238,0.847,0.612,0.335,0.484,100.965,audio_features,1NBq0AHmEicdDiLoBV4m5d,spotify:track:1NBq0AHmEicdDiLoBV4m5d,https://api.spotify.com/v1/tracks/1NBq0AHmEicdDiLoBV4m5d,https://api.spotify.com/v1/audio-analysis/1NBq0AHmEicdDiLoBV4m5d,157431,4
0.557,0.522,6,-6.483,1,0.0913,0.382,0.0,0.369,0.786,170.006,audio_features,58GnVN4cv4lf4hLEWCKwg6,spotify:track:58GnVN4cv4lf4hLEWCKwg6,https://api.spotify.com/v1/tracks/58GnVN4cv4lf4hLEWCKwg6,https://api.spotify.com/v1/audio-analysis/58GnVN4cv4lf4hLEWCKwg6,172235,3
0.591,0.781,10,-6.768,0,0.053,0.00389,1.49e-06,0.0311,0.821,98.518,audio_features,77T7hYfq087y7i1X4BOGAv,spotify:track:77T7hYfq087y7i1X4BOGAv,https://api.spotify.com/v1/tracks/77T7hYfq087y7i1X4BOGAv,https://api.spotify.com/v1/audio-analysis/77T7hYfq087y7i1X4BOGAv,240973,4
0.583,0.191,5,-15.938,1,0.0404,0.908,0.00824,0.126,0.342,123.303,audio_features,34rzJNfTd5e9s3TICFMPD0,spotify:track:34rzJNfTd5e9s3TICFMPD0,https://api.spotify.com/v1/tracks/34rzJNfTd5e9s3TICFMPD0,https://api.spotify.com/v1/audio-analysis/34rzJNfTd5e9s3TICFMPD0,309387,4
0.41,0.378,9,-9.389,0,0.0271,0.555,0.939,0.109,0.234,78.046,audio_features,0RPVCaf2uffWZVHtOnxG34,spotify:track:0RPVCaf2uffWZVHtOnxG34,https://api.spotify.com/v1/tracks/0RPVCaf2uffWZVHtOnxG34,https://api.spotify.com/v1/audio-analysis/0RPVCaf2uffWZVHtOnxG34,206771,4
