id_str,username,text,date,user_language,URLs,user_id,followers_count,friends_count,user_location,source_device,retweet_count,reply_count,like_count,text_clean,spotify_URLs
1476296551085400065,UnitedSongBird,"Sung from a viewpoint of a girl with roller skates trying to attract the attention of a boy🎧#Pop single titled ""#Brand New #Key"" was on top of the #Billboard #December29 1971 recorded by American🇺🇸 singer-songwriter musician🎸#Melanie Safka #folk #country https://t.co/tMOrnLh5XI",2021-12-29 20:58:20+00:00,en,['https://open.spotify.com/track/7da5B9d2oVV16YSzXVxmrR?si=651872ea122041f5'],1207779675507953664,2018,1721,United ,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2,0,9,sung from a viewpoint of a girl with roller skates trying to attract the attention of a boypop single titled brand new key was on top of the billboard december29 1971 recorded by american singersongwriter musicianmelanie safka folk country ,['https://open.spotify.com/track/7da5B9d2oVV16YSzXVxmrR?si=651872ea122041f5']
1472590039310041091,reginemaemusic,I’m so proud of you Phi @MSuppasit  it’s still on #Billboard https://t.co/3ggJTs0WsN,2021-12-19 15:29:59+00:00,en,['https://open.spotify.com/track/6ZaKKVN7E8iOP0ZW03w28e?si=2iAdpVADRLi6onA2hv3L3w&context=spotify%3Asearch%3Amew'],106391373,189,17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,0,0,im so proud of you phi msuppasit its still on billboard ,['https://open.spotify.com/track/6ZaKKVN7E8iOP0ZW03w28e?si=2iAdpVADRLi6onA2hv3L3w&context=spotify%3Asearch%3Amew']
1471634983886671872,BESTY40811412,"#HotTrendingSongs 
#BEFIRST
#Gifted

🎧#Spotify
https://t.co/aOQJjolNCc

Check out ""Gifted."" by BE:FIRST on this week's Hot Trending Songs Powered by Twitter! 
https://t.co/wouZFY4jZQ 
@billboard #Billboard",2021-12-17 00:14:56+00:00,en,"['https://open.spotify.com/track/65AmrrbvmkhGCYWk9xfXPW?si=I9yFyFp1R4qHgLrJI12DKA&context=spotify%3Aplaylist%3A70hVsUjVTl8mrMawPC1f3R', 'https://www.billboard.com/charts/twitter-hot-trending-songs/?rank=8']",1445569190358753283,1233,1309,9/25岡山,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",15,0,15,hottrendingsongs befirst gifted spotify check out gifted by befirst on this weeks hot trending songs powered by twitter billboard billboard,['https://open.spotify.com/track/65AmrrbvmkhGCYWk9xfXPW?si=I9yFyFp1R4qHgLrJI12DKA&context=spotify%3Aplaylist%3A70hVsUjVTl8mrMawPC1f3R']
1470473159619100676,LordGutsy,Lord Guts is aiming for billboard 200 https://t.co/1cuRuvEcW4 #BillboardHotTrending #Billboard200 #Billboard #billboardhot100,2021-12-13 19:18:15+00:00,en,['https://open.spotify.com/track/36KfRFqCOwc7d71jONfHB6?si=aslJPh94T7Kk657cW62kFg&utm_source=copy-link'],955619338484092928,515,270,Bushkill Pennsylvania,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1,0,2,lord guts is aiming for billboard 200 billboardhottrending billboard200 billboard billboardhot100,['https://open.spotify.com/track/36KfRFqCOwc7d71jONfHB6?si=aslJPh94T7Kk657cW62kFg&utm_source=copy-link']
1467793245556154375,GriffinSam_,"Song of the day 

https://t.co/xMGsrhxerk

•
•
•
•
#spotify #itunes #googleplay #applemusic #tidal #deezer #amazonmusic #soundcloud #amazon #iheartradio #newmusic #vevo #beatport #indieartist #datpiff #rhapsody #playlist #billboard #reverbnation #worldstarhiphop",2021-12-06 09:49:14+00:00,en,['https://open.spotify.com/track/65GHzL6BGgba4Ms9BbuKWI?si=84fa4bede50141b9'],1278047326528049155,190,1262,"London, England","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0,3,song of the day spotify itunes googleplay applemusic tidal deezer amazonmusic soundcloud amazon iheartradio newmusic vevo beatport indieartist datpiff rhapsody playlist billboard reverbnation worldstarhiphop,['https://open.spotify.com/track/65GHzL6BGgba4Ms9BbuKWI?si=84fa4bede50141b9']
1464414116282568705,MetalMachine_1,"Welcome To #MetalMachine 🤘

#EnjoyTheRide   

#NowPlaying #NowStreaming                 

#MTV #Songs #Musician #Music #HeavyMetal #Guitarist #Drums

#BillBoard #Rock #Metal 🤘

#YouTube #Spotify #iHeartRadio

#HeadBangersBall #MetalMusic

#OnePlus_USA

https://t.co/TAJam8vVhh",2021-11-27 02:01:47+00:00,en,['https://open.spotify.com/track/47qV9FAvLMUi5Ui6aTtyNT?si=znFCcWeaR5q060lA_bG3UQ'],19464588,90,557,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1,0,0,welcome to metalmachine enjoytheride nowplaying nowstreaming mtv songs musician music heavymetal guitarist drums billboard rock metal youtube spotify iheartradio headbangersball metalmusic oneplus_usa ,['https://open.spotify.com/track/47qV9FAvLMUi5Ui6aTtyNT?si=znFCcWeaR5q060lA_bG3UQ']
1462206739290361859,Cyn_Dear,"How can I say this? I am so proud to be a Dear fan of @dimash_official 

#DimashQudaibergen ‘s song #BeWithMe finally made it on the Hot Trending Songs chart for #Billboard 

#DimashTheVoice is blazing🔥🔥🔥 UNITED FOR DIMASH 

https://t.co/eigKrevCuI",2021-11-20 23:50:27+00:00,en,['https://open.spotify.com/track/1CUoIz1tIezmMe5ZAGUXez?si=ywOA__CURKC6Qo5Tgrt4zA'],1364044173012209664,825,1225,"Tauranga, New Zealand","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",39,0,35,how can i say this i am so proud to be a dear fan of dimash_official dimashqudaibergen s song bewithme finally made it on the hot trending songs chart for billboard dimashthevoice is blazing united for dimash ,['https://open.spotify.com/track/1CUoIz1tIezmMe5ZAGUXez?si=ywOA__CURKC6Qo5Tgrt4zA']
1461415113190162444,ma_wasala,"#DimashQudaibergen really brings to life everything he does, everything he sings! Every # song 🎶@dimash_official brings so much life!❤️
#FlyAway #BeWithMe 
#Billboard #ITunes 
I listen to #DimashQudaibergen's music on #YouTube 
#Spotify 
▶️https://t.co/2OU1i1mzyb https://t.co/2ZOwX2ygOD",2021-11-18 19:24:49+00:00,en,['http://open.spotify.com/track/1CUoIz1tIezmMe5ZAGUXez?si=nGfFKhU9RzmCEu2T44jn1g&utm_source=copy-link'],1244011453125931010,106,53,Poland..,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",63,3,63,dimashqudaibergen really brings to life everything he does everything he sings every song dimash_official brings so much life flyaway bewithme billboard itunes i listen to dimashqudaibergens music on youtube spotify ,[]
1458675408623308801,conchij16648058,#DimashQudaibergеn/You are the morning sun @dimash_official/  song #FlyAwау/#YouTube/#Spotify/#Billboard 💪🏻❤️#DQ !  https://t.co/7OcjHA7oqx,2021-11-11 05:58:12+00:00,en,['https://open.spotify.com/track/3PrBCZYviaV6QaYqw0NkYN?si=h2SZ8_E_RHeyRG-beQ8kGw'],1376585033352421380,186,180,"Basilea, Suiza","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",21,1,16,dimashqudaibergеnyou are the morning sun dimash_official song flyawауyoutubespotifybillboard dq ,['https://open.spotify.com/track/3PrBCZYviaV6QaYqw0NkYN?si=h2SZ8_E_RHeyRG-beQ8kGw']
1458631004147662856,JamesAMoore_JAM,"@TheRock @GalGadot @VancityReynolds #ReadNotice
But, dang, ain't nobody done me wrong, today!
And I ain't mad at nobody.
Today is #Funkday!
#Shameless #LinkDrop
https://t.co/ryCbIsIwMs
Which #Billboard for 
#RedNotice?
@carmenm42685041",2021-11-11 03:01:46+00:00,en,['https://open.spotify.com/track/2c3Va4sRp5NHBpuVYdzEGD'],17146773,3336,3086,"Baltimore, MD USA Funk We Do! ","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0,0,therock galgadot vancityreynolds readnotice but dang aint nobody done me wrong today and i aint mad at nobody today is funkday shameless linkdrop which billboard for rednotice carmenm42685041,['https://open.spotify.com/track/2c3Va4sRp5NHBpuVYdzEGD']
