id_str,username,text,date,user_language,URLs,user_id,followers_count,friends_count,user_location,source_device,retweet_count,reply_count,like_count,text_clean
1523783150593212417,mediaCRAXbaby,"Missing (remix) ~ everything but the girl 
Classic 

#popmusic 
#electronicmusic 
#90s 
#girl 

https://t.co/mLXK4U8jzG",2022-05-09 21:53:08+00:00,en,['https://open.spotify.com/track/75IiVIjhH1D2twasNsaKZL?si=4Kjy13xtSSKJjhdAsWGYzQ'],1433948059264700418,20,27,"Los Angeles, CA","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,0,0,"missing remix  everything but the girl 
classic 

popmusic 
electronicmusic 
90s 
girl 

"
1523650331430821888,iMusicSuccess,"Said Goodbye it is about appreciating the past while taking permission to move forward, even for bigger and better things.  It’s about not letting the past hold you back so that you can celebrate love and life as it happens.

https://t.co/o877jam798

#nowplaying #popmusic",2022-05-09 13:05:21+00:00,en,['https://open.spotify.com/track/0Snfe5pBXlNrwIgfN3MHbz'],562207202,74172,57235,,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",0,0,0,"said goodbye it is about appreciating the past while taking permission to move forward even for bigger and better things  its about not letting the past hold you back so that you can celebrate love and life as it happens



nowplaying popmusic"
1523514934071480320,ArtistsandMusic,"Clocks On Canvas

https://t.co/e2st4lnHDh

Sandras strong and emotional voice meets Be Low as a soft duet partner and Benjamins perfect matching solo guitar. The experiment to release their first german song was successful.

#newmusic #popmusic",2022-05-09 04:07:20+00:00,en,['https://open.spotify.com/track/0xHKaStJXSXqWiYUVZ2rw7'],31327090,231836,229818,United States,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",0,0,0,"clocks on canvas



sandras strong and emotional voice meets be low as a soft duet partner and benjamins perfect matching solo guitar the experiment to release their first german song was successful

newmusic popmusic"
1523391981019303937,PeterJLake1,"Discovered this great, new Australian artist.  Fab track, fab vocal!
#NewMusic
#spotify #popmusic
https://t.co/fcNKt4rbCt",2022-05-08 19:58:46+00:00,en,['https://open.spotify.com/track/4T0pBVbASECE7byD74sY74?si=5ZIoeDidSzSgj1I604DGFA'],1312476477393432580,1303,1635,"Cambridge, England","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,1,0,"discovered this great new australian artist  fab track fab vocal
newmusic
spotify popmusic
"
1523342809930944513,iMusicSuccess,"Said Goodbye it is about appreciating the past while taking permission to move forward, even for bigger and better things.  It’s about not letting the past hold you back so that you can celebrate love and life as it happens.

https://t.co/o877ja4vKy

#newmusic #popmusic",2022-05-08 16:43:22+00:00,en,['https://open.spotify.com/track/0Snfe5pBXlNrwIgfN3MHbz'],562207202,74172,57235,,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",0,0,0,"said goodbye it is about appreciating the past while taking permission to move forward even for bigger and better things  its about not letting the past hold you back so that you can celebrate love and life as it happens



newmusic popmusic"
1523226897827594240,TheBruteMusic_,"Wherever you are around the globe; Have yourself a sunny day with haunting music from @TheBruteMusic_  🙃, ""This Is Not Me"" is my favourite track on the album alongside with ""Lost"". #thebrute #elctropop #popmusic #pop  https://t.co/nTHTGumSy2",2022-05-08 09:02:47+00:00,en,['https://open.spotify.com/track/4kNiClAtnV6GMK79ZiOfSa?si=f894991c27934cd4'],974582638177550336,337,508,"London, UK","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0,1,wherever you are around the globe have yourself a sunny day with haunting music from thebrutemusic_   this is not me is my favourite track on the album alongside with lost thebrute elctropop popmusic pop  
1523120505502330880,OfficialCrazyJJ,"Not Good Enough 
https://t.co/5RWWlhXmHw 
#CrazyJ #OfficialCrazyJ #StatenIsland  #rap #musician #singer #artist #upandcoming #pop #popmusic #hiphop #singer  #dope #viral #cool #independent  #official #audio #awesome #spotify",2022-05-08 02:00:01+00:00,en,['https://open.spotify.com/track/3Y60kSx1T7DIq5FXjxKrdR?si=760859a29b8744da'],1421470581371936771,57,64,"Staten Island, NY","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,1,2,"not good enough 
 
crazyj officialcrazyj statenisland  rap musician singer artist upandcoming pop popmusic hiphop singer  dope viral cool independent  official audio awesome spotify"
1522912242546753538,ArtistsBuzz,"""We're on Fire"" the new single release from New York City's soulful pop singing sensation Tatiana Owens.
 
https://t.co/bAgNI1WRbK
 
#pop #popmusic",2022-05-07 12:12:27+00:00,en,['https://open.spotify.com/track/4LiMpfZuz8ugtCkpvMfSWF'],786991325933608960,74091,36820,"Miami, FL","<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",0,0,0,"were on fire the new single release from new york citys soulful pop singing sensation tatiana owens
 

 
pop popmusic"
1522751318359777280,strykeforceent,"@iamcolormebadd @INDUSTRYMUSICG1 New Song “California Dreamin” on HEAVY Rotation. Summer Energy! 💥🔥🌴🎶

#californiadreamin #colormebadd #newmusic #popmusic #rnbmusic #freestylemusic 

https://t.co/Q7KyQla1sd",2022-05-07 01:33:00+00:00,en,['https://open.spotify.com/track/1yz5t5GbKRNUCkcTrrhMcx?si=1J2NUE7TRYWQ2V8uBbNuoQ'],63191652,217,217,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2,0,2,"iamcolormebadd industrymusicg1 new song california dreamin on heavy rotation summer energy 

californiadreamin colormebadd newmusic popmusic rnbmusic freestylemusic 

"
1522687242728259595,TommyBlunt95,"Based in Nuremberg, German independent artist Sven Andrew isn't afraid to say something meaningful through music. Sven sees each new song as an authentic chance to impact, innovate and self-express.

https://t.co/j5415oc26V

#indie #popmusic",2022-05-06 21:18:23+00:00,en,['https://open.spotify.com/track/3G39NoslhBEQEa1qlbgnkA'],803945912271679488,34080,23587,"USA, UK, Australia & worldwide","<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",0,0,0,"based in nuremberg german independent artist sven andrew isnt afraid to say something meaningful through music sven sees each new song as an authentic chance to impact innovate and selfexpress



indie popmusic"
1522652545390419969,Get_Heard_Today,"Have Your Way In Us By Claire Odogbo  
https://t.co/mNbhUgowZ2
#Christianmusic #newmusic #music #popmusic https://t.co/5qyGTeI1Xk",2022-05-06 19:00:30+00:00,en,['https://open.spotify.com/track/1gUR90U4qAWeFRFGKG161O?si=0d2180a4b5cf45f6'],49718612,79322,68726,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0,0,"have your way in us by claire odogbo  

christianmusic newmusic music popmusic "
1522348999650549760,stupid_fish9,"So maybe stream the duo I’m in? Or shit just press retweet. We have an album out and really believe In what we are doing. Twitter for once please do your thing and get this viral! 
This song is SO GOOD 😭😭 https://t.co/8kgVlMncwo
#popmusic #music #viral #twitter #help #lgbt #gay",2022-05-05 22:54:20+00:00,en,['https://open.spotify.com/track/2ToV33fziWhuerknjcn1tc?si=XJ38pbqVRB2fi7iPMU3HKw'],858521184274714627,287,867,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2,2,4,"so maybe stream the duo im in or shit just press retweet we have an album out and really believe in what we are doing twitter for once please do your thing and get this viral 
this song is so good  
popmusic music viral twitter help lgbt gay"
1522304837324615681,AutumnSodomy,"Here’s a song for you… Summer Girls by LFO #NowPlaying #Music on #Spotify #MusicPlayer #PopMusic #Throwback #SongsILove #PressPlay ❤❤❤❤❤
https://t.co/y0EPzy6YFX",2022-05-05 19:58:50+00:00,en,['https://open.spotify.com/track/7uYroF9RRrhRJBrigRvB6H?si=8lQNNbuHT9qJXBzqdeAM-Q'],12388232,1464,4987,"Connecticut, USA","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,0,"heres a song for you summer girls by lfo nowplaying music on spotify musicplayer popmusic throwback songsilove pressplay 
"
1522297875996291075,ComeEastMusic,"Check out our powerful song ""We Are Who We Are"" https://t.co/ZVNLWOEYKJ #Spotify #indiemusic #popmusic #Thursdaymotivation #TikTok",2022-05-05 19:31:11+00:00,en,['https://open.spotify.com/track/58cL3USY15cY5zXGMgYql2?si=FKmeLPfsTZK2Q4TUzeGvZA'],958078116995444736,15,169,"New York, USA","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0,0,check out our powerful song we are who we are  spotify indiemusic popmusic thursdaymotivation tiktok
