danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.774,0.371,10,-9.456,0,0.0279,0.318,6.45e-05,0.107,0.387,104.985,audio_features,00fAts9FdVit73Vgv6zxyY,spotify:track:00fAts9FdVit73Vgv6zxyY,https://api.spotify.com/v1/tracks/00fAts9FdVit73Vgv6zxyY,https://api.spotify.com/v1/audio-analysis/00fAts9FdVit73Vgv6zxyY,234933,4
0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,audio_features,4Dvkj6JhhA12EX05fT7y2e,spotify:track:4Dvkj6JhhA12EX05fT7y2e,https://api.spotify.com/v1/tracks/4Dvkj6JhhA12EX05fT7y2e,https://api.spotify.com/v1/audio-analysis/4Dvkj6JhhA12EX05fT7y2e,167303,4
0.482,0.354,1,-10.48,0,0.0432,0.965,0.833,0.113,0.272,75.005,audio_features,5VrDCttzltIPNhYqtx7fZJ,spotify:track:5VrDCttzltIPNhYqtx7fZJ,https://api.spotify.com/v1/tracks/5VrDCttzltIPNhYqtx7fZJ,https://api.spotify.com/v1/audio-analysis/5VrDCttzltIPNhYqtx7fZJ,177887,4
0.855,0.615,10,-7.403,0,0.0413,0.118,0.736,0.091,0.842,112.937,audio_features,7ADli7gGUnlG5H4C1GTPhf,spotify:track:7ADli7gGUnlG5H4C1GTPhf,https://api.spotify.com/v1/tracks/7ADli7gGUnlG5H4C1GTPhf,https://api.spotify.com/v1/audio-analysis/7ADli7gGUnlG5H4C1GTPhf,234801,4
0.727,0.455,2,-10.403,1,0.0413,0.0319,0.0268,0.119,0.253,94.999,audio_features,6vvcEBCPCyNLOjUu6x1aBo,spotify:track:6vvcEBCPCyNLOjUu6x1aBo,https://api.spotify.com/v1/tracks/6vvcEBCPCyNLOjUu6x1aBo,https://api.spotify.com/v1/audio-analysis/6vvcEBCPCyNLOjUu6x1aBo,156632,4
0.827,0.675,1,-7.235,0,0.0401,0.205,0.00199,0.102,0.627,143.968,audio_features,1wrHQnqj9zHMHryIrjfEsk,spotify:track:1wrHQnqj9zHMHryIrjfEsk,https://api.spotify.com/v1/tracks/1wrHQnqj9zHMHryIrjfEsk,https://api.spotify.com/v1/audio-analysis/1wrHQnqj9zHMHryIrjfEsk,202572,4
0.631,0.518,0,-8.771,1,0.0303,0.274,0.0,0.088,0.205,93.023,audio_features,5enxwA8aAbwZbf5qCHORXi,spotify:track:5enxwA8aAbwZbf5qCHORXi,https://api.spotify.com/v1/tracks/5enxwA8aAbwZbf5qCHORXi,https://api.spotify.com/v1/audio-analysis/5enxwA8aAbwZbf5qCHORXi,613027,4
0.659,0.713,5,-7.015,1,0.0347,0.497,0.0012,0.236,0.441,77.515,audio_features,54Q4zwGYvNngn8Xg6rxo2T,spotify:track:54Q4zwGYvNngn8Xg6rxo2T,https://api.spotify.com/v1/tracks/54Q4zwGYvNngn8Xg6rxo2T,https://api.spotify.com/v1/audio-analysis/54Q4zwGYvNngn8Xg6rxo2T,128705,4
0.32,0.523,1,-11.815,1,0.0391,0.175,0.00397,0.113,0.405,124.738,audio_features,6Fmnn7nFUcyBbiJ85dvqpg,spotify:track:6Fmnn7nFUcyBbiJ85dvqpg,https://api.spotify.com/v1/tracks/6Fmnn7nFUcyBbiJ85dvqpg,https://api.spotify.com/v1/audio-analysis/6Fmnn7nFUcyBbiJ85dvqpg,298467,4
0.427,0.845,11,-6.299,0,0.0448,0.000203,0.0,0.317,0.308,75.008,audio_features,6tQqEu2gXkFfSko8nwnmeq,spotify:track:6tQqEu2gXkFfSko8nwnmeq,https://api.spotify.com/v1/tracks/6tQqEu2gXkFfSko8nwnmeq,https://api.spotify.com/v1/audio-analysis/6tQqEu2gXkFfSko8nwnmeq,172800,4
