id_str,username,text,date,user_language,URLs,user_id,followers_count,friends_count,user_location,source_device,retweet_count,reply_count,like_count,text_clean
1344256886657454081,RicoSkyline,"""Secret Stuff"" #pop #popmusic #music #newmusic
https://t.co/sHTYeU5F0G",2020-12-30 12:19:51+00:00,en,['https://open.spotify.com/track/3HeXCbdoJm2MWgJNeDq6xW?si=gyVESNiyTUGQt_Fzenvibw'],730881948,2248,2257,New York City,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,0,secret stuff pop popmusic music newmusic 
1344228610782101504,the_tunesclub,The latest track ‘Falling on the Dead’ by Faith Robert Michaels gives a reality check of modern life #FaithRobertMichaels #Spotify #popmusic   https://t.co/kvjXPeKmbS,2020-12-30 10:27:30+00:00,en,['https://open.spotify.com/track/41oL13Mzfr8CGK24LQcmSR'],1126078559074656256,717,1501,United States,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0,0,the latest track falling on the dead by faith robert michaels gives a reality check of modern life faithrobertmichaels spotify popmusic 
1344082753638301696,serafimrks1,"@FreedomKRadio Hello  !! I would like to hear the music by 
@samalvesmusic ft @dibofficial1 "" I'M NOT DREAMING "". Please, could you play ? #Popmusic #samalves  #artistatranscultural  #Brazil #USA #Freedomkradio #singer. Thanks  !! (https://t.co/sS348qhcFq) .",2020-12-30 00:47:54+00:00,en,['https://open.spotify.com/track/2J9B5SM6gGPgdhiXAiXO5U?si=pKwWfYytR6OLjww1H06Mbw'],2883171268,271,494,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1,0,1,freedomkradio hello i would like to hear the music by samalvesmusic ft dibofficial1 im not dreaming please could you play popmusic samalves artistatranscultural brazil usa freedomkradio singer thanks 
1344045206463778817,FORKSTER_2013,"#RTplz 

FORKSTER #NewMusic2020 SALUTE:

JUST RELEASED = ""Finding Peace"" 

The BRAND NEW Single by @3mindB in collaboration with 
@shimmer_johnson

OUT ON ALL MUSIC PLATFORMS = Have a #goodmusic listen!

https://t.co/8GVLSogAWP

#music #poprock #popmusic #3MindBlight",2020-12-29 22:18:43+00:00,en,['https://open.spotify.com/track/300yg7OJQ16BK0FLUDv8An?si=IhpUStJoTlC8AJFfoUMcOg'],588269272,20690,7112,The United Kingdom,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",9,9,13,rtplz forkster newmusic2020 salute just released finding peace the brand new single by 3mindb in collaboration with shimmer_johnson out on all music platforms have a goodmusic listen music poprock popmusic 3mindblight
1344011201622192128,sam_meu_amor,"Hi @freqnetwork !! Please, could you play ""I See Only You"" by @samalvesmusic  ? Thanks !! #Popmusic #Brasil #USA #singer #music #song #musicpop #popstar #song  #artistatranscultural #pop  (https://t.co/q1T4CaB0GO) .",2020-12-29 20:03:35+00:00,en,['https://open.spotify.com/track/4YPkPVuczXHWPo90vtygSi?-'],1105910871694475265,93,81,"Rio de Janeiro, Brasil","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2,0,2,hi freqnetwork please could you play i see only you by samalvesmusic thanks popmusic brasil usa singer music song musicpop popstar song artistatranscultural pop 
1344010810604072961,sam_vida_minha,"@FreedomKRadio Hello  !! I would like to hear the music by 
@samalvesmusic ft @dibofficial1 "" I'M NOT DREAMING "". Please, could you play ? #Popmusic #samalves  #artistatranscultural  #Brazil #USA #Freedomkradio #singer. Thanks  !! (https://t.co/LOEVqtnauD) .",2020-12-29 20:02:02+00:00,en,['https://open.spotify.com/track/2J9B5SM6gGPgdhiXAiXO5U?si=pKwWfYytR6OLjww1H06Mbw'],889260604430614533,146,157,"Rio de Janeiro, Brasil","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1,0,1,freedomkradio hello i would like to hear the music by samalvesmusic ft dibofficial1 im not dreaming please could you play popmusic samalves artistatranscultural brazil usa freedomkradio singer thanks 
1342971221978345472,ReginaS39039392,""" Messing With Me"" de Sam Alves #Popmusic #Brasil #USA #singer #music #musicapop #pop #musica #artistainternacional #popstar #song 
https://t.co/4F6aJRJyrV",2020-12-26 23:11:05+00:00,en,['https://open.spotify.com/track/7Cx2SysXvUGV2BK95jG3zj?si=3D5POZi9T0KBeQof8JN5mQ'],987109301515882498,3430,4612,"Teresina, Brasil","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",3,0,3, messing with me de sam alves popmusic brasil usa singer music musicapop pop musica artistainternacional popstar song 
1342792340524720129,ReservadaArea,"@russelled latest album “Southern Symphony”, @TripleTigers showcases his beautiful lyrics, outstanding vocals laced with nice acoustic guitar playing.
A fantastic work 

#countrymusic #popmusic 

https://t.co/pX3zIhx9zN",2020-12-26 11:20:16+00:00,en,['https://open.spotify.com/track/4nAE5UQFlXguukpVQoX7E4?si=-fmVgVzDTJuK64F1HVzUhw&context=spotify%3Aplaylist%3A37i9dQZF1DX8S0uQvJ4gaa'],1226176261086728192,109,32,Miami/Barcelona/London/Paris,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,0,1,russelled latest album southern symphony tripletigers showcases his beautiful lyrics outstanding vocals laced with nice acoustic guitar playing a fantastic work countrymusic popmusic 
1342464981313482755,analogmusiq,#NowPlaying Marcel Ruew - We Are (The Belgian Stallion Remix) @Spotify #hardtechno #technopop #popmusic #np https://t.co/FcbPd21WEt,2020-12-25 13:39:27+00:00,en,['http://open.spotify.com/track/2uEUY0FCwIHbPs1Y7tu7mN'],198468783,3865,4873,"Frankfurt am Main, Hessen","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1,0,1,nowplaying marcel ruew we are the belgian stallion remix spotify hardtechno technopop popmusic np 
1341334168022609922,ZyrilleZuno,"Stories w/ TechnoWizards is now available on @Spotify!

#Mix #Mixtape #ElectroPop #ProgressiveHouse #PopMusic #Coachella #Techno #ElectroHouse #music #FutureBass #Chillhop #downtempo #DJ #Rave #DeepHouse #MusicProduction #NewMusic #popmusic #NewMusic 
https://t.co/5BsSkIc3Yj",2020-12-22 10:46:01+00:00,en,['https://open.spotify.com/track/5881CrbzBj0PEJ1ZM7Beut?si=fSdQ4LZ1Rs-Rr5AicI-xlQ'],2819534552,1688,816,"Malolos City, Central Luzon","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",4,1,4,stories w technowizards is now available on spotify mix mixtape electropop progressivehouse popmusic coachella techno electrohouse music futurebass chillhop downtempo dj rave deephouse musicproduction newmusic popmusic newmusic 
1341333569294262272,astronomer1971,@MusicMetrop Finally here’s a song called HOUSE ON THE HILL https://t.co/ah791zt6m0 taken from our album KINGS OF ENGLAND #popmusic #UnsignedMusic #piano #singersongwriter #originalmusic #Beatles #BlackettMusic #Independent #LGTWO,2020-12-22 10:43:38+00:00,en,['https://open.spotify.com/track/6Gc63GZO3MoA61jtDcsKmQ?si=0spSicRDQpigFdiTGezBaQ'],96329139,4150,2451,Somewhere in England,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",7,0,9,musicmetrop finally heres a song called house on the hill taken from our album kings of england popmusic unsignedmusic piano singersongwriter originalmusic beatles blackettmusic independent lgtwo
1341299859610087424,topzik29,"Lou Doillon
""Alexandrie Alexandra""
#loudoillon #popmusic #claudefrançois #music 
https://t.co/a8BcSSgJEI",2020-12-22 08:29:41+00:00,en,['https://open.spotify.com/track/4A5p0Jl1jF2F9XGE6lrom1?si=iRcuG7qwR5yD7_q-qC0XIQ'],835506976012521475,55,99,"Finistère, Bretagne","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0,0,lou doillon alexandrie alexandra loudoillon popmusic claudefrançois music 
1341279730650243073,DJ_Chris_Odd,Never had so many positive feedback on a track! Thanks! https://t.co/I9Q7Yr5Bzv #spotify #Playlist @spotifymint @spotify #chill #popmusic #deephouse,2020-12-22 07:09:42+00:00,en,['https://open.spotify.com/track/30XUUL98TjGBAcntt2mtfR?si=_CFNRHK3Q5-oX0bzsZ7Zyg'],94044388,2497,2263,Sint Anthonis,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1,0,1,never had so many positive feedback on a track thanks spotify playlist spotifymint spotify chill popmusic deephouse
