danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.539,0.846,8,-3.192,1,0.0354,0.0063,1.68e-06,0.13,0.46,106.992,audio_features,0WNGsQ1oAuHzNTk8jivBKW,spotify:track:0WNGsQ1oAuHzNTk8jivBKW,https://api.spotify.com/v1/tracks/0WNGsQ1oAuHzNTk8jivBKW,https://api.spotify.com/v1/audio-analysis/0WNGsQ1oAuHzNTk8jivBKW,274097,4
0.43,0.437,10,-11.803,0,0.35,0.498,0.0,0.094,0.486,160.358,audio_features,1ageFtM4VcYQ7e21AxOlrV,spotify:track:1ageFtM4VcYQ7e21AxOlrV,https://api.spotify.com/v1/tracks/1ageFtM4VcYQ7e21AxOlrV,https://api.spotify.com/v1/audio-analysis/1ageFtM4VcYQ7e21AxOlrV,192048,4
0.807,0.901,7,-5.111,0,0.0691,0.278,0.00547,0.101,0.923,103.972,audio_features,5yTQcnZOHdtfAoEfhLIZzM,spotify:track:5yTQcnZOHdtfAoEfhLIZzM,https://api.spotify.com/v1/tracks/5yTQcnZOHdtfAoEfhLIZzM,https://api.spotify.com/v1/audio-analysis/5yTQcnZOHdtfAoEfhLIZzM,326787,4
0.658,0.405,0,-11.71,0,0.557,0.433,0.0,0.111,0.23,117.404,audio_features,4UCkXFsJ4wkz4bUB0QA9Zr,spotify:track:4UCkXFsJ4wkz4bUB0QA9Zr,https://api.spotify.com/v1/tracks/4UCkXFsJ4wkz4bUB0QA9Zr,https://api.spotify.com/v1/audio-analysis/4UCkXFsJ4wkz4bUB0QA9Zr,216059,5
0.767,0.787,9,-5.756,0,0.0448,0.00866,0.0,0.116,0.897,120.007,audio_features,76cF7vPduhB3U1TOmVi1yG,spotify:track:76cF7vPduhB3U1TOmVi1yG,https://api.spotify.com/v1/tracks/76cF7vPduhB3U1TOmVi1yG,https://api.spotify.com/v1/audio-analysis/76cF7vPduhB3U1TOmVi1yG,211134,4
0.908,0.585,0,-3.812,0,0.156,0.412,0.0,0.0898,0.644,120.052,audio_features,3al49T4uo0nQjJRmGF5sY0,spotify:track:3al49T4uo0nQjJRmGF5sY0,https://api.spotify.com/v1/tracks/3al49T4uo0nQjJRmGF5sY0,https://api.spotify.com/v1/audio-analysis/3al49T4uo0nQjJRmGF5sY0,171373,4
0.507,0.618,1,-7.15,1,0.248,0.0466,0.0,0.841,0.223,85.212,audio_features,5o7evRbTlq8FBxBHeOLyBn,spotify:track:5o7evRbTlq8FBxBHeOLyBn,https://api.spotify.com/v1/tracks/5o7evRbTlq8FBxBHeOLyBn,https://api.spotify.com/v1/audio-analysis/5o7evRbTlq8FBxBHeOLyBn,219489,4
0.675,0.608,10,-11.881,0,0.0451,0.0539,0.0202,0.0572,0.528,135.635,audio_features,0JYPGobfe6YU7LHTsENOfX,spotify:track:0JYPGobfe6YU7LHTsENOfX,https://api.spotify.com/v1/tracks/0JYPGobfe6YU7LHTsENOfX,https://api.spotify.com/v1/audio-analysis/0JYPGobfe6YU7LHTsENOfX,226488,4
0.759,0.622,10,-6.991,0,0.235,0.311,0.0152,0.107,0.445,102.392,audio_features,0kwTza7Pvby0JxFvZc8wBV,spotify:track:0kwTza7Pvby0JxFvZc8wBV,https://api.spotify.com/v1/tracks/0kwTza7Pvby0JxFvZc8wBV,https://api.spotify.com/v1/audio-analysis/0kwTza7Pvby0JxFvZc8wBV,115226,4
0.511,0.94,9,-7.063,0,0.0963,3.25e-05,0.00082,0.163,0.438,125.004,audio_features,0bQbTdcc4SQEkkDSC3CWWr,spotify:track:0bQbTdcc4SQEkkDSC3CWWr,https://api.spotify.com/v1/tracks/0bQbTdcc4SQEkkDSC3CWWr,https://api.spotify.com/v1/audio-analysis/0bQbTdcc4SQEkkDSC3CWWr,267120,4
0.803,0.6,6,-8.6,0,0.215,0.338,4.05e-06,0.344,0.435,95.014,audio_features,2yhDmmsiWD7pf0P2YcntGR,spotify:track:2yhDmmsiWD7pf0P2YcntGR,https://api.spotify.com/v1/tracks/2yhDmmsiWD7pf0P2YcntGR,https://api.spotify.com/v1/audio-analysis/2yhDmmsiWD7pf0P2YcntGR,276000,4
0.625,0.55,1,-6.916,1,0.0258,0.301,0.0,0.11,0.353,83.007,audio_features,6S18su3fmCpLzBsJCQWovx,spotify:track:6S18su3fmCpLzBsJCQWovx,https://api.spotify.com/v1/tracks/6S18su3fmCpLzBsJCQWovx,https://api.spotify.com/v1/audio-analysis/6S18su3fmCpLzBsJCQWovx,238467,4
0.694,0.807,2,-3.183,1,0.0888,0.0167,0.0,0.547,0.797,144.031,audio_features,1Dd22oMwd0OlMYqRXGdObE,spotify:track:1Dd22oMwd0OlMYqRXGdObE,https://api.spotify.com/v1/tracks/1Dd22oMwd0OlMYqRXGdObE,https://api.spotify.com/v1/audio-analysis/1Dd22oMwd0OlMYqRXGdObE,184858,4
0.733,0.697,1,-6.72,1,0.156,0.509,0.0,0.0743,0.715,140.03,audio_features,2ThJHh6FzfoNGYRMZqUU8j,spotify:track:2ThJHh6FzfoNGYRMZqUU8j,https://api.spotify.com/v1/tracks/2ThJHh6FzfoNGYRMZqUU8j,https://api.spotify.com/v1/audio-analysis/2ThJHh6FzfoNGYRMZqUU8j,193881,4
