danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.703,0.292,1,-10.924,1,0.036,0.805,3.76e-06,0.08,0.855,84.032,audio_features,7da5B9d2oVV16YSzXVxmrR,spotify:track:7da5B9d2oVV16YSzXVxmrR,https://api.spotify.com/v1/tracks/7da5B9d2oVV16YSzXVxmrR,https://api.spotify.com/v1/audio-analysis/7da5B9d2oVV16YSzXVxmrR,147040,4
0.529,0.735,0,-6.699,1,0.0363,0.00413,0.0154,0.291,0.466,167.972,audio_features,6ZaKKVN7E8iOP0ZW03w28e,spotify:track:6ZaKKVN7E8iOP0ZW03w28e,https://api.spotify.com/v1/tracks/6ZaKKVN7E8iOP0ZW03w28e,https://api.spotify.com/v1/audio-analysis/6ZaKKVN7E8iOP0ZW03w28e,207432,4
0.652,0.605,9,-6.938,0,0.0766,0.254,0.0,0.0638,0.693,105.037,audio_features,65AmrrbvmkhGCYWk9xfXPW,spotify:track:65AmrrbvmkhGCYWk9xfXPW,https://api.spotify.com/v1/tracks/65AmrrbvmkhGCYWk9xfXPW,https://api.spotify.com/v1/audio-analysis/65AmrrbvmkhGCYWk9xfXPW,220467,4
0.796,0.391,11,-11.97,1,0.357,0.232,7.33e-06,0.116,0.519,159.979,audio_features,36KfRFqCOwc7d71jONfHB6,spotify:track:36KfRFqCOwc7d71jONfHB6,https://api.spotify.com/v1/tracks/36KfRFqCOwc7d71jONfHB6,https://api.spotify.com/v1/audio-analysis/36KfRFqCOwc7d71jONfHB6,216048,3
0.682,0.506,6,-3.819,1,0.0474,0.512,7.18e-06,0.407,0.529,63.99,audio_features,65GHzL6BGgba4Ms9BbuKWI,spotify:track:65GHzL6BGgba4Ms9BbuKWI,https://api.spotify.com/v1/tracks/65GHzL6BGgba4Ms9BbuKWI,https://api.spotify.com/v1/audio-analysis/65GHzL6BGgba4Ms9BbuKWI,199042,4
0.47,0.981,2,-6.076,0,0.0745,0.000116,0.754,0.169,0.125,100.048,audio_features,47qV9FAvLMUi5Ui6aTtyNT,spotify:track:47qV9FAvLMUi5Ui6aTtyNT,https://api.spotify.com/v1/tracks/47qV9FAvLMUi5Ui6aTtyNT,https://api.spotify.com/v1/audio-analysis/47qV9FAvLMUi5Ui6aTtyNT,233298,4
0.859,0.726,7,-7.529,1,0.0593,0.106,6.11e-05,0.171,0.593,104.988,audio_features,1CUoIz1tIezmMe5ZAGUXez,spotify:track:1CUoIz1tIezmMe5ZAGUXez,https://api.spotify.com/v1/tracks/1CUoIz1tIezmMe5ZAGUXez,https://api.spotify.com/v1/audio-analysis/1CUoIz1tIezmMe5ZAGUXez,231709,4
0.718,0.551,5,-8.007,1,0.0446,0.041,2.85e-05,0.115,0.168,139.988,audio_features,3PrBCZYviaV6QaYqw0NkYN,spotify:track:3PrBCZYviaV6QaYqw0NkYN,https://api.spotify.com/v1/tracks/3PrBCZYviaV6QaYqw0NkYN,https://api.spotify.com/v1/audio-analysis/3PrBCZYviaV6QaYqw0NkYN,224571,4
0.74,0.758,11,-5.768,0,0.0232,0.00283,0.094,0.0568,0.719,104.031,audio_features,2c3Va4sRp5NHBpuVYdzEGD,spotify:track:2c3Va4sRp5NHBpuVYdzEGD,https://api.spotify.com/v1/tracks/2c3Va4sRp5NHBpuVYdzEGD,https://api.spotify.com/v1/audio-analysis/2c3Va4sRp5NHBpuVYdzEGD,202404,4
0.718,0.551,5,-8.007,1,0.0446,0.041,2.85e-05,0.115,0.168,139.988,audio_features,3PrBCZYviaV6QaYqw0NkYN,spotify:track:3PrBCZYviaV6QaYqw0NkYN,https://api.spotify.com/v1/tracks/3PrBCZYviaV6QaYqw0NkYN,https://api.spotify.com/v1/audio-analysis/3PrBCZYviaV6QaYqw0NkYN,224571,4
0.718,0.551,5,-8.007,1,0.0446,0.041,2.85e-05,0.115,0.168,139.988,audio_features,3PrBCZYviaV6QaYqw0NkYN,spotify:track:3PrBCZYviaV6QaYqw0NkYN,https://api.spotify.com/v1/tracks/3PrBCZYviaV6QaYqw0NkYN,https://api.spotify.com/v1/audio-analysis/3PrBCZYviaV6QaYqw0NkYN,224571,4
0.442,0.617,1,-6.356,0,0.147,0.00748,0.0,0.132,0.233,98.538,audio_features,7FeX0huzuveGjYoPGfzHWV,spotify:track:7FeX0huzuveGjYoPGfzHWV,https://api.spotify.com/v1/tracks/7FeX0huzuveGjYoPGfzHWV,https://api.spotify.com/v1/audio-analysis/7FeX0huzuveGjYoPGfzHWV,141061,3
0.766,0.844,10,-3.993,0,0.0575,0.0502,0.0,0.269,0.823,122.019,audio_features,6IqKFke4ZhKbGYULllEezY,spotify:track:6IqKFke4ZhKbGYULllEezY,https://api.spotify.com/v1/tracks/6IqKFke4ZhKbGYULllEezY,https://api.spotify.com/v1/audio-analysis/6IqKFke4ZhKbGYULllEezY,201707,4
0.486,0.873,9,-5.164,1,0.0385,0.0383,0.109,0.367,0.463,110.064,audio_features,2SxzJYopKzLjYClU5a74pp,spotify:track:2SxzJYopKzLjYClU5a74pp,https://api.spotify.com/v1/tracks/2SxzJYopKzLjYClU5a74pp,https://api.spotify.com/v1/audio-analysis/2SxzJYopKzLjYClU5a74pp,244693,4
0.697,0.659,7,-12.474,1,0.053,0.00848,0.000257,0.099,0.747,108.997,audio_features,0AUys3I9ow0KSaqew5esK7,spotify:track:0AUys3I9ow0KSaqew5esK7,https://api.spotify.com/v1/tracks/0AUys3I9ow0KSaqew5esK7,https://api.spotify.com/v1/audio-analysis/0AUys3I9ow0KSaqew5esK7,246387,4
0.648,0.402,7,-7.744,1,0.0296,0.516,0.00034,0.154,0.198,141.739,audio_features,672tMoohSSJCC8pyGyQytS,spotify:track:672tMoohSSJCC8pyGyQytS,https://api.spotify.com/v1/tracks/672tMoohSSJCC8pyGyQytS,https://api.spotify.com/v1/audio-analysis/672tMoohSSJCC8pyGyQytS,182067,4
0.544,0.547,7,-10.448,1,0.0473,0.328,0.28,0.204,0.218,120.225,audio_features,5VEaexyHNHAdrQLknkKULY,spotify:track:5VEaexyHNHAdrQLknkKULY,https://api.spotify.com/v1/tracks/5VEaexyHNHAdrQLknkKULY,https://api.spotify.com/v1/audio-analysis/5VEaexyHNHAdrQLknkKULY,125291,4
0.69,0.827,7,-1.893,1,0.301,0.624,0.0,0.698,0.606,65.848,audio_features,3SjEG8TzcrKCICMyoffH7g,spotify:track:3SjEG8TzcrKCICMyoffH7g,https://api.spotify.com/v1/tracks/3SjEG8TzcrKCICMyoffH7g,https://api.spotify.com/v1/audio-analysis/3SjEG8TzcrKCICMyoffH7g,284909,4
0.555,0.804,7,-5.449,0,0.112,0.609,0.0,0.126,0.467,89.752,audio_features,2TUsgycw6q8UXnlHm6afLo,spotify:track:2TUsgycw6q8UXnlHm6afLo,https://api.spotify.com/v1/tracks/2TUsgycw6q8UXnlHm6afLo,https://api.spotify.com/v1/audio-analysis/2TUsgycw6q8UXnlHm6afLo,226000,4
0.406,0.992,9,-1.598,1,0.0792,0.00991,2.79e-06,0.277,0.659,159.802,audio_features,26WIaSXLrNbf3AsvhN54I3,spotify:track:26WIaSXLrNbf3AsvhN54I3,https://api.spotify.com/v1/tracks/26WIaSXLrNbf3AsvhN54I3,https://api.spotify.com/v1/audio-analysis/26WIaSXLrNbf3AsvhN54I3,176658,4
0.674,0.493,8,-11.937,0,0.0476,0.00764,0.672,0.106,0.0799,131.948,audio_features,6x2inVMTvBDvcW42cZ1BRb,spotify:track:6x2inVMTvBDvcW42cZ1BRb,https://api.spotify.com/v1/tracks/6x2inVMTvBDvcW42cZ1BRb,https://api.spotify.com/v1/audio-analysis/6x2inVMTvBDvcW42cZ1BRb,174770,4
0.779,0.456,5,-12.023,1,0.326,0.0146,0.0,0.0929,0.552,150.018,audio_features,4wHou23zSFY02PJVdyl3Y1,spotify:track:4wHou23zSFY02PJVdyl3Y1,https://api.spotify.com/v1/tracks/4wHou23zSFY02PJVdyl3Y1,https://api.spotify.com/v1/audio-analysis/4wHou23zSFY02PJVdyl3Y1,169506,4
0.503,0.526,11,-13.174,0,0.367,0.518,0.0,0.0882,0.305,92.831,audio_features,2OvqokmRiVBfsWVt1J8Vxl,spotify:track:2OvqokmRiVBfsWVt1J8Vxl,https://api.spotify.com/v1/tracks/2OvqokmRiVBfsWVt1J8Vxl,https://api.spotify.com/v1/audio-analysis/2OvqokmRiVBfsWVt1J8Vxl,224681,4
