rank,song,artist,url
53,"""Surface Pressure""",Jessica Darrow,https://open.spotify.com/track/760jhRscwGbIIe1m1IIQpU
54,"""Fall in Love""",Bailey Zimmerman,https://open.spotify.com/track/5gVCfYmQRPy1QJifP8f5gg
55,"""Love Nwantiti (Ah Ah Ah)""",CKay,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
56,"""Super Freaky Girl""",Nicki Minaj,https://open.spotify.com/track/4C6Uex2ILwJi9sZXRdmqXp
57,"""Hrs and Hrs""",Muni Long,https://open.spotify.com/track/3ncmoWTwJgx63LwMTyBCXf
58,"""Sand in My Boots""",Morgan Wallen,https://open.spotify.com/track/0uRrG2jRR5tuifsYIJHEao
59,"""Mamiii""",Becky G and Karol G,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs?si=4f518b604f7c45d4
60,"""Knife Talk""",Drake featuring 21 Savage and Project Pat,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6?si=d99023110cdd4e77
61,"""AA""",Walker Hayes,https://open.spotify.com/track/6aIrXGmaFqPafbYgxbMUsj
62,"""Sweetest Pie""",Megan Thee Stallion and Dua Lipa,https://open.spotify.com/track/7mFj0LlWtEJaEigguaWqYh?si=76b48579da5e420b
63,"""Provenza""",Karol G,https://open.spotify.com/track/7dSZ6zGTQx66c2GF91xCrb
64,"""Essence""",Wizkid featuring Justin Bieber and Tems,https://open.spotify.com/track/1MZtr7IH5qtjIkqrXj8WOJ?si=e1fcfacd1fc84272
65,"""All I Want for Christmas Is You""",Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
66,"""Bam Bam""",Camila Cabello featuring Ed Sheeran,https://open.spotify.com/track/0QBzMgT7NIeoCYy3sJCof1?si=eaa79b855ec6432b
67,"""5 Foot 9""",Tyler Hubbard,https://open.spotify.com/track/6AqwH2Y9FJwhUE2dCSkw1u
68,"""Get Into It (Yuh)""",Doja Cat,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
69,"""Efecto""",Bad Bunny,https://open.spotify.com/track/5Eax0qFko2dh7Rl2lYs3bx
70,"""Rock and a Hard Place""",Bailey Zimmerman,https://open.spotify.com/track/4686eQ81DEswHa90bcdlC9
71,"""Doin' This""",Luke Combs,https://open.spotify.com/track/4GyD3o5hWoyCuYpdlzZlRL
