track_uri,artist_uri,genres
1OSx1msdttSD5HHnfrbXJi,5o66XwYiq6l0VwUkG4GGrt,[]
2C6VrFvuowHKxYq34uD3HD,3tJoFztHeIJkJWMrx0td2f,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
3uouaAVXpQR3X8RYkJyitQ,20wkVLutqVOYrc0kxFs7rA,['canadian contemporary r&b']
6IQVEjfLUChdMjeUm2guMO,51mEqzVhG2n9nD2kBAnWer,"['dark rock', 'dark wave', 'gothic rock']"
4gzsuuZypVbxs0Af1LSZyB,0GM7qgcRCORpGnfcN2tCiB,"['pop reggaeton', 'reggaeton', 'trap latino', 'urbano latino']"
63HHF9ZpCIisujKFk2rixR,581C5Qwl87TskfBEzuoisu,"['brooklyn indie', 'sped up']"
5ry6DGjhCKVdo6ewfwhJqd,28apqXruaLOhD1nGDhrr9Q,['louisville indie']
5A0OVRW65uZw8otPcEWT6g,5t28BP42x2axFnqOOMg3CM,"['alternative metal', 'groove metal', 'nu metal']"
4OWDaUwMAtw6UIvg5FXBxR,3TBV3JQVN4Yu86Oj9zpd5d,[]
4z3dqTVGmEAYi0CEkXyWdr,08Ld63UgKrJ0nZnCkzHtzc,"['crunk', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'trap']"
0Etjx0wbI3vCJAA054J5ZY,4LLpKhyESsyAXpc4laK94U,"['hip hop', 'pittsburgh rap', 'rap']"
6CbF4u1SeE2ayplozWWUVF,0XVBY2ZiCiTEvN91iIA4wO,[]
65l5KYs1YMFplVybSvFZqZ,3q7HBObVc0L8jNeTe5Gofh,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']"
4Tttv4p2xuAq1LpQ7LI95E,1ZwdS5xdxEREPySFridCfh,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
2EBYjdMUtc3paqfjeJi0pb,26hDmlgTbg7wseM7YmoyO6,['baltimore hip hop']
2ScyHxAC25oZf6RaP0bCJV,41qil2VaGbD194gaEcmmyx,"['hip hop', 'pop rap']"
1Qokr1fQFm6DRtzeNPfKIM,25uiPmTg16RbhZWAqwLBy5,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']"
6EsBn1Md8C5YdbCzvwvZq8,5LfGQac0EIXyAN8aUwmNAQ,"['alternative metal', 'permanent wave', 'post-grunge', 'punk', 'rock', 'skate punk', 'socal pop punk']"
6HJIZUOiZDE814XMhRGSZN,51ZSh80McCt7vbqHouzW0A,['sad sierreno']
5enxwA8aAbwZbf5qCHORXi,06HL4z0CvFAxyc27GXpf02,['pop']
5QeJCkBNHe6a8T5uusmqIv,7cIzAFnvs0ilTGyfFJY8fd,['progressive trance house']
1Jg0lG581ibc6gjzGbuRqo,6uVEWgg7sAAzfPQsXjzTRi,"['afro soul', 'south african pop']"
50lP2u9FBdxwP2mHdaQ3DR,3Y7RZ31TRPVadSFVy1o8os,"['r&b', 'rap']"
6N2er1oLZUfkcHv4CFHBKl,2wUjUUtkb5lvLKcGKsKqsR,"['canadian contemporary r&b', 'canadian pop', 'pop']"
2uwnP6tZVVmTovzX5ELooy,6l3HvQ5sa6mXTsMTB19rO5,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
0RcYEWXtbu4ehdv1tiBOi0,7hJcb9fa4alzcOq3EaNPoG,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']"
7FKkswFflI5Txc3Y4gH0IB,3aHe9rMa5HFTjXHw8tEz0A,['alt z']
61dV7kfXoo9xl0UizxZy5T,7t8q7ikEtcPNtoaKAm9Vu6,"['classic soundtrack', 'orchestral soundtrack', 'soundtrack']"
4ckQIgBy1gVeevf7UAereE,66lH4jAE7pqPlOlzUKbwA0,"['contemporary country', 'country', 'country dawn', 'country road']"
2VRArF8Mnmi1dHiHr1DlNE,0UWZUmn7sybxMCqrw9tGa7,"['colombian pop', 'latin pop', 'mexican pop', 'rock en espanol']"
1YmqAwomMjcSELTuk3qCOj,4LLpKhyESsyAXpc4laK94U,"['hip hop', 'pittsburgh rap', 'rap']"
6NlMdl6NHhehN0uSXvG5QW,3C0lKtT1y0TtzOoNdjhygj,[]
3dogj76QlamJKcwfYFfMGe,47e6jtFUUl53YpTpvzOOMN,[]
2Q9ikfZZH3R2rfkNyxSczJ,5DUlefCLzVRzNWaNURTFpK,"['colombian pop', 'electro latino', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
2Z7FT1lDIAwdAtoQNHNWxB,3r9TXuXfOUxXjgYgAR0fP8,['bubblegum pop']
3IOoHU0CyXqg480kLpfdRc,4kZYabwsaIN8t3OwjFcKWC,[]
1ZhrREyOOeFV6TxDOyiPwu,6QtGlUje9TIkLrgPZrESuk,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']"
5VPFATm85G3P04Q5g8yxqr,6aaMZ3fcfLv4tEbmY7bjRM,"['hip hop', 'indie hip hop', 'rap', 'tennessee hip hop', 'underground hip hop']"
0QAxYBIRvhno4Fiv47pKDU,44mEtidu0VdRkIqO4IbkNa,"['corrido', 'corridos tumbados', 'musica mexicana', 'norteno', 'nueva musica mexicana', 'sad sierreno', 'sierreno']"
4r6FWvOo7N94gxxz6kCUd3,2vaWvC8suCFkRXejDOK7EE,"['east coast reggae', 'reggae', 'reggae rock']"
3ABFD8SzXwMbUspLFxbbwK,2hlmm7s2ICUX0LVIhVFlZQ,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
4k7dYdLGhJuUjaeEQB5hcA,4Gso3d4CscCijv0lmajZWs,['rap']
6DdqhtrLTNnOePpOm3OH7S,6zvul52xwTWzilBZl6BUbT,"['alternative rock', 'boston rock', 'permanent wave', 'rock']"
0bhnUFDQFCEHCBlsQfHnj5,6l3HvQ5sa6mXTsMTB19rO5,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
58ge6dfP91o9oXMzq3XkIS,7Ln80lUS6He07XvHI8qqHH,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
5aXTfpNOqLj35ydEiLio67,60d24wfXkVzDSfLS6hyCjZ,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']"
6QXsYJ37ZKu9ATfDmI6JPS,6lay1nwbE6hTx1jivysUAL,"['alternative r&b', 'escape room', 'lgbtq+ hip hop', 'trap queen']"
0hgLHFyN9u3WqkK2ofpuUX,4llAOeA6kEF4ytaB2fsmcW,"['indietronica', 'pixel', 'pov: indie']"
2JzZzZUQj3Qff7wapcbKjc,137W8MRPWKqSmrBGDBFSop,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
6512LmhVpv9NGbuvrFSKWk,4LZ4De2MoO3lP6QaNCfvcu,"['melodic dubstep', 'pop edm']"
5rxzvuFvtIVFWSSte40IFe,5J7rXWjtn5HzUkJ4Jet8Fr,"['trap boricua', 'urbano latino']"
4VJgjfuniqML4faAcc0nkV,2kxLXJ17WUKNIwyIfeDigH,['drift phonk']
0ZJcQYCuOTozSkjXgJ9Y5A,0RESbWvOMyua0yuyVrztJ5,"['memphis hip hop', 'tennessee hip hop', 'trap']"
5XNNskkpE46QcgyWjPHUZd,4FcZfItjVIsfO9TynErl7X,['swedish pop']
3lMOJhsiPBc5q0dGP73EaZ,5o206eFLx38glA2bb4zqIU,"['chamber pop', 'indie rock', 'melancholia', 'omaha indie', 'stomp and holler']"
5iYaJsLo6V6AxlYKrHrnGF,3j8mUJUXcRRHOZSuy4AKv2,[]
2IwbIGkquI55VOzcWUg8fg,7FtCyCJCJaxabYO7Uyda5B,[]
52A8OAP8lTQKZCj4Rce92B,6l3HvQ5sa6mXTsMTB19rO5,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
3D8sT8D3f5egWSQnF0fbqu,6USv9qhCn6zfxlBQIYJ9qs,"['alternative pop rock', 'pov: indie']"
0m1h6onsz08efeHJoYwGey,4RVnAU35WRWra6OZ3CbbMA,"['australian dance', 'australian pop', 'dance pop', 'eurodance', 'new wave pop']"
