track_uri,artist_uri,genres
7fYRg3CEbk6rNCuzNzMT06,7CajNmpbOovFoOoasH2HaY,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
7ohROa13QK43JBRqfCmz4P,3hcs9uc56yIGFCSy9leWe7,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']"
0cyHAFeqh5Y0YkXNqnURJP,6qvfzsfzCPEpVfY2EuqUQZ,"['florida drill', 'florida rap']"
1yrhdGNQijC3fbPR7thWh3,5dbuFbrHa1SJlQhQX9OUJ2,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']"
2b3lUT9emXS3GudBXk9Br2,4F4pp8NUW08JuXwnoxglpN,"['neoperreo', 'rap catala', 'rap latina', 'trap catala', 'urbano espanol']"
5g1vtHqi9uV7xtYeCcFOBx,5K4W6rqBFWDnAN6FQUkS6x,"['chicago rap', 'hip hop', 'rap']"
4KAzYqfcijCSZa2P3etHoM,3FfvYsEGaIb52QPXhg4DcH,"['contemporary country', 'country', 'country road', 'modern country rock']"
7MDobIiZKLbDDibHDA1fl8,7vk5e3vY1uw9plTHJAMwjN,['electro house']
3jjujdWJ72nww5eGnfs2E7,6KImCVD70vtIoJWnq6nGn3,['pop']
6vWIjEsC0mhAX3lkeYhCs0,6fxyWrfmjcbj5d12gXeiNV,"['dark trap', 'drill', 'hip hop', 'miami hip hop', 'rap', 'underground hip hop']"
3GJ4hzg4lrGwU51Y3VARbF,7z5WFjZAIYejWy0NI5lv4T,"['contemporary country', 'country', 'country road']"
4hWNuoYhcE8JT4KeVNZIqQ,4AqIRTZF6DDmKmdorgFug6,"['hardcore punk', 'punk', 'ska', 'ska punk', 'skate punk']"
4WGj0mxVYdLBCpZ40t0TX9,1c0MTVrGbnets3DTXAEa0z,['crank wave']
7vw0ehNEA0dof0ZP5D1F8R,4xAgdnmi9y0S8evoKS2lVz,['korean pop']
2igwFfvr1OAGX9SKDCPBwO,3nFkdlSjzX9mRTtwJOzDYB,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
1Is8hGpkGMiePASAxBluxM,5SXuuuRpukkTvsLuUknva1,"['hip hop', 'rap']"
152oiKrzbqUOWutP8m5PWv,1ZwdS5xdxEREPySFridCfh,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
68QiEkaHAOFfsN5Wc1x2sD,3NYhVzA0Uvqnx2uNq1F6oe,['cali rap']
59nOXPmaKlBfGMDeOVGrIK,1RyvyyTE3xzB2ZywiAwp0i,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
6ZOcbKub95XSDESsKKuH41,1mcTU81TzQhprhouKaTkpq,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
3FYSNSTUCqAZGfwEd8ui4l,5pnbUBPifNnlusY8kTBivi,"['battle rap', 'east coast hip hop', 'hardcore hip hop', 'trap']"
4H7WNRErSbONkM06blBoGc,246dkjvS1zLTtiykXe5h60,"['dfw rap', 'melodic rap', 'pop', 'rap']"
13MrHw7A78fu5OoToVF29n,555069AxgdlH7dl3ukV4An,['college marching band']
2clU945dZk2R17ur9Xt8vT,1ZbmerOthZbxz5eR3c9Mn1,"['detroit hip hop', 'detroit trap', 'florida drill', 'memphis hip hop']"
0iDKSWmHdcJNNwmpS0nSni,66pGC6EHiiLr7Ce6twM5bk,['maga rap']
1GOMY6SwYRIbtfiWtk0JLZ,0QsL4cgFQcbtkmUf552XGg,[]
2SlMmA5z4o2vjF5iG4KzXi,2cRFZn5EhqH0Wu1gHlOHlz,"['baltimore indie', 'indie punk', 'modern hardcore', 'riot grrrl']"
0o9Vr0BGIQPh32staLHcuU,6IE6z7DcZIT4Ml3Fh5Ivch,"['mexican pop', 'tejano']"
6uyOYLLHKfhl8Vp0oPg4Fv,5aHlyw2WWqZW0HLICBuv7U,"['alt z', 'gen z singer-songwriter']"
3N6zIydyItTt7H2aAsCK20,5oPPmHAbhL6PEXdXcOqAeN,['persian poetry']
6ebNn9bRWksrrrWotc6xcV,4hFBhdNVZZuVk5FYThUwaN,['japanese vgm']
5tlgvDtnFAbuzY38JhLPYy,25uiPmTg16RbhZWAqwLBy5,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']"
3ByY1rAdGseNiZ43YknF3d,26C2AjqgMr5aDzj6Yp2ORz,"['modern southern rock', 'new americana']"
6IyiJuu7CIkmKX55HKcJT2,2dN1u3qRvK66p9M3MHwJsZ,['japanese vgm']
2aPTvyE09vUCRwVvj0I8WK,13ubrt8QOOCPljQ2FL1Kca,"['east coast hip hop', 'hip hop', 'rap', 'trap']"
253Sq7utuR9vchbNWyjyE4,4C9Tvlt8v7d8R6h98FgdUy,"['alternative r&b', 'indie soul']"
0jr6tT2vc4cIFPHb6wufG3,5lwmRuXgjX8xIwlnauTZIP,"['bachata', 'latin hip hop', 'latin pop', 'urbano latino']"
3t5OV1asJHmOlf23T08CLv,13ZEDW6vyBF12HYcZRr4EV,"['kentucky indie', 'kentucky roots', 'outlaw country']"
43ozsR0VR6m5VkQFGannGc,1DgmdsnwOexqTH8ohPCFAU,"['deathcore', 'djent', 'melodic metalcore', 'metalcore', 'progressive metalcore']"
75HO1EKtI4QSsKjP3qU613,6NAhbfEqeWELwfjH391Vz0,"['dembow', 'rap dominicano']"
67aT1GlWJdGIZSHRzzlK2d,5LwsKokIfyEjdGrC7VG2PE,[]
4TdgGhOjHuS71MZA8DOl0O,52BKc9OtCbQstAAPTIvLGH,"['alternative country', 'classic texas country', 'outlaw country']"
1cTw7xf8f6wcnlAyJH6qxV,0ka0FjhZefopirtICGSUjb,[]
2WRzpLD8qDRrxMXc63E5WJ,2wIVse2owClT7go1WT98tk,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'rap', 'urban contemporary', 'virginia hip hop']"
6ZpEmh8WAxGsr1KYpiFEZb,7CajNmpbOovFoOoasH2HaY,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
1dBroK67DSaaEE5kvkVjzG,0DwdA5ZgTJcIQ2uIhc110D,"['cantopop', 'hk-pop']"
5M4yti0QxgqJieUYaEXcpw,5INjqkS1o8h1imAzPqGZBb,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']"
6AOInVQije1SwCAycIGS3N,0zQi1rMSEtw9D7i9uQPTHW,[]
5AEO7diINcw3q1nPc7KBnQ,1wCF2kb75T3TaGZdQSLkdb,['finnish black metal']
47emsK4Cj4dMqctYq18U03,2Waw2sSbqvAwK8NwACNjVo,"['comic', 'pov: indie']"
1UpJMfx6fGd6HvZxz9fFjt,4tm8CEdm4pkQsEh4jIr9Yp,"['mexican hip hop', 'nueva musica mexicana']"
2geeRQEPGzJVKAlMWgPPIi,2gbYPIlZdF2Nhx0i7idlTg,[]
74cWbZ5oivbHeVe8jKoLd0,5Q8NEHGX70m1kkojbtm8wa,"['cuban alternative', 'etherpop', 'world']"
3rZrK0m6FsVwNBS0SFpivX,6avpsZzjS5Yy9daHLBCYmn,"['traditional funk', 'traditional soul']"
13kriBHMjE1UwqUPJRW3Cn,3fhz0PcZrd3o3xB8APuoPX,"['alternative r&b', 'portland hip hop']"
7EuktT4CgA637ci366IrYW,63XBtGSEZINSyXylZxEUbv,['alternative r&b']
6Zs3F2lrr3L3kugrniFG5R,5a2EaR3hamoenG9rDuVn8j,"['funk', 'funk rock', 'minneapolis sound', 'rock', 'synth funk']"
6t8phlQc47YhAF38sucBRw,0qT79UgT5tY4yudH9VfsdT,"['alternative metal', 'canadian pop punk', 'canadian punk', 'modern rock', 'nu metal', 'pop punk', 'post-grunge', 'punk', 'rock']"
6i4Qi1mJxXjqNIL9HfJhRs,3qm84nBOXUEQ2vnTfUTTFC,"['glam metal', 'hard rock', 'rock']"
4d4ZXH4dr5bYfgErHiZCX2,4q3ewBCX7sLwd24euuV69X,"['reggaeton', 'trap latino', 'urbano latino']"
2FeBslNBMdR9V58uv6hd2t,2YZyLoL8N0Wb9xBt1NhZWg,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
0m2d94P3v1dDDHuRUH5gDa,6kFay2DQ5aZfeu5OsrF3Pw,"['chamber pop', 'indie rock', 'noise pop']"
2F5r18ZlLUBqnt0jjhhETm,5uYXMC13cIUulobh204QuK,"['boston punk', 'boston rock', 'punk', 'ska', 'ska punk', 'skate punk']"
2OMR01HE3jlRuP3fH42ouf,5XURjhDMRoF4vrSAJj8vIN,['emo']
6IwSGBUjtiPsDiXPR0yTSS,3Ayl7mCk0nScecqOzvNp6s,"['alternative metal', 'alternative rock', 'emo', 'modern power pop', 'modern rock', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge', 'punk', 'rock']"
29d0nY7TzCoi22XBqDQkiP,1aSxMhuvixZ8h9dK9jIDwL,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']"
4sBWbdFfQvheSvOJpS7woD,5tLGHWFRX1WY6xi27jTFWt,[]
06DZwL9QE5wTRdtxVbxJrL,2kCO8LXN1usaOPL3iEE28I,['modern indie pop']
5Bbofcdk6fsDgIPIPLB0np,1MPJLEZXyn1YxfJFHSfufi,[]
4VErYdXTSbt5pGa9eZwUFA,37BiX28I6pF104F92U1hDP,"['contemporary country', 'country dawn', 'kentucky roots']"
4Us3BHNRNRVlJFtDd1e5xA,1CFA76fcB5Ieqc0vUWWab4,[]
6REtbD1sDtPfL788VWoFZ5,3vcFXwLEUdfWMu7gTQKyot,"['ccm', 'christian alternative rock', 'christian music', 'worship']"
55tQMd3wlWyiB51q6CGZgS,0QJIPDAEDILuo8AIq3pMuU,"['escape room', 'indietronica', 'neo-synthpop', 'new rave']"
0GROiXm03OrMC5ltXLhGIu,1Xyo4u8uXC1ZmMpatF05PJ,"['canadian contemporary r&b', 'canadian pop', 'pop']"
61X6gnN5a2fJogo3rqdH2o,3SgHzT552wy2W8pNLaLk24,"['ccm', 'christian music', 'world worship', 'worship']"
5iG3DidIjI5wUqNowgmXQb,46auOkH1pk28rWrSoUNhLo,"['alternative country', 'queer country']"
7F1vYmP0Z9wzX8tCymdTkU,6n1t55WMsSIUFHrAL4mUsB,[]
4Ow1BoZtlOKQkqqTAR4ZSg,4q1wUtYNvarbN3rHViYKlm,['judaica']
2Q3jFbyE61mCjS3SkW4toJ,3TVXtAsR1Inumwj472S9r4,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
4zlRCThoy7Wops9GF11kQX,0fgYKF9Avljex0L9Wt5b8Z,"['alternative rock', 'new romantic', 'new wave', 'permanent wave']"
4W08S73bCuiKTEdhHhUGtB,15iVAtD3s3FsQR4w1v6M0P,"['chicago bop', 'chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']"
2WHctubxf8LzrGr62cLz3d,3jFjgKOGfVLWfXX8q5wrsg,['reggaeton']
4PTZSg4GhqB0kSnj1UNfim,135RS7kvT3HudxpqNERNbe,['wrestling']
2LMkwUfqC6S6s6qDVlEuzV,2h93pZq0e7k5yf4dywlkpM,"['lgbtq+ hip hop', 'neo soul']"
6AjQRdm3izhNGSdohEA28p,4fXkvh05wFhuH77MfD4m9o,"['new americana', 'retro soul']"
2KNeDbgymVCUJmP6PJQ4Bx,3EiLUeyEcA6fbRPSHkG5kb,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']"
3QjQ9c1ooHiJDCqrKGC9fK,55Aa2cqylxrFIXC767Z865,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
7Mb7jOst43wPQELas93ARE,0a0l3QVhfMwQNAO4wPAmP9,[]
0h4uJm0qGzZOag9LhZbwAf,4ZtqSJYEh407LR6NM5hNcS,"['afro drill', 'brooklyn drill', 'new york drill']"
76vY3AXaEeyTWsenkMb7Xw,5s9CuMyAFTD43AiRtBOzm0,[]
5yyW5zyUXeVcdoBFmxRjAf,5y2Xq6xcjJb2jVM54GHK3t,"['neo soul', 'pop', 'pop soul', 'urban contemporary']"
1fdfpoBdJeDL8GODdVIOXx,75qOcxf6stWPuJyQqVGH3q,[]
0yI5ApwVyFDmdh265LD5LT,3RPYHNSwe3w0mtfJwKIN9P,"['atl hip hop', 'country rap', 'dirty south rap', 'redneck', 'southern hip hop']"
7jtyvpndgcYmBRBrGkssfJ,5uOY07qwawhLazhUvBFRg7,[]
2bsczk82MWGPmTbe6IWYsa,77zrvBORXcnTyysjjKRfBU,"['new romantic', 'synthpop']"
42qh86p7TLXyumxSHn65kc,6vWDO969PvNqNYHIOW5v0m,"['pop', 'r&b']"
6n3HGiq4v35D6eFOSwqYuo,3TVXtAsR1Inumwj472S9r4,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
0oks4FnzhNp5QPTZtoet7c,4tZwfgrHOc3mvqYlEYSvVi,"['electro', 'filter house', 'rock']"
2q5sKNjnrsWiGtKFcQUuZt,35ajyqjK50Vy4mJW0HQHqu,['psych gaze']
6l0j6PTbFsGqZWHv0CU53f,5yhxqYI0JBwUKfXpSEjiM8,"['country', 'country road', 'outlaw country']"
2vti78HdUVPW8AozPQcTx6,6XFt0iOyYmGY19gn8upF5t,"['cloud rap', 'emo rap']"
78WMSN51fT3PsLDZxtezpb,2hiETHfouqhQmXo875TMMy,[]
