track_uri,artist_uri,genres
3GMR3hyv8BccozoebVMve3,59wfkuBoNyhDMQGCljbUbA,"['dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap']"
5iec4vPvfL3M1aVKtKhnKx,17kq4sCvn1nVcVvWV9Ribi,"['dmv rap', 'vapor trap']"
0q6LuUqGLUiCPP1cbdwFs3,3AA28KZvwAUcZuOKwyblJQ,"['alternative hip hop', 'modern rock', 'rock']"
72QQoIEAP8WJ0kJoypW0s8,4ltM0kJwSBRs6n9ND0ygy5,[]
4UWleADocovQFXMcWvBJol,0BmaYmkvvcYxIwr5r7zbhi,[]
2e3YoddL43UkaSqhYGqfKz,2B4ZHz4QDWJTXPFPgO5peE,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'west coast rap']"
3knmP0f7Tg4X5Fps6ARLwF,2Goi67VDUPJZhjQf6nSnDV,[]
2pd1q68ypWXXUhcK1WjstN,10AY17ALos2o3akPqrPydw,['underground hip hop']
6nbXYLeP21ksEQNFrHl2a2,4xnMDfgEmXZEEDdITKcGuE,"['edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house']"
71cYkGMbhkWXHkvc8VZ8ps,3K2zB87GZv1krx031en5VA,"['alternative dance', 'electropop', 'neo-synthpop']"
4cjWVc72Lp9wkwm73AtXNf,0rEuaTPLMhlViNCJrg3NEH,"['finnish heavy metal', 'finnish power metal', 'power metal', 'symphonic metal']"
5OoQo1NhMJlvHr0E6pU4Cy,5QdEbQJ3ylBnc3gsIASAT5,"['chicago drill', 'chicago rap', 'drill', 'rap', 'trap']"
0IIUjaCJHVGmDeIxGiPQ80,6kTaghFWmvBbtenJUJks6h,[]
3llcAeSoZUVK3qNi2osYov,0tbeZu9lv8YEKSQ9tZSslu,"['alternative r&b', 'indie soul', 'nyc pop']"
5vpDsiVqiZLRwKAzQO708k,3y24n3XhZ96wgwRXjvS17T,"['g funk', 'gangster rap', 'hip hop', 'west coast rap']"
67eX1ovaHyVPUinMHeUtIM,3lPQ2Fk5JOwGWAF3ORFCqH,"['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']"
0zcKU98jIjZAxGPQZ5sDpe,5p9HO3XC5P3BLxJs5Mtrhm,"['pov: indie', 'psychedelic pop']"
7z84Fwf1R3Z2BwHCP620CI,74XFHRwlV6OrjEM0A2NCMF,"['candy pop', 'modern rock', 'pixie', 'pop', 'pop emo', 'pop punk', 'rock']"
5JS1gz9zP4GTy0LZYvSeUK,6lOaHNmL3l3hKDGNf0egfs,"['detroit hip hop', 'detroit trap']"
5HpMZmGVA7YJiRg8SNVFH4,0cGUm45nv7Z6M6qdXYQGTX,"['pop', 'r&b']"
2P0Si3pfikrrkpLLnrXaLR,5SXuuuRpukkTvsLuUknva1,"['hip hop', 'rap']"
4EWBhKf1fOFnyMtUzACXEc,7pbDxGE6nQSZVfiFdq9lOL,"['bedroom pop', 'pov: indie']"
5yfJCU4qGsSVQEDyprCo0q,1rXr1ZnvbRoYBaedIl9v4v,"['alternative country', 'folk', 'heartland rock', 'new americana', 'roots rock', 'southern rock']"
0vjnLqEwVxEyFhaS9MVVoe,7gzXeFUDWz0aqhikdkOJxQ,"['pov: indie', 'small room', 'weirdcore']"
6xZ4Q2k2ompmDppyeESIY8,3YQKmKGau1PzlVlkL1iodx,"['modern rock', 'pop', 'pov: indie', 'rock']"
39TdLWLrPPqzv1vCEQnIXE,7hYOOcRqfNzeE2CTpajd5a,"['afropop', 'rumba congolaise', 'soukous', 'zilizopendwa']"
7GH8qNOm2gEKryVUyVzkmt,7dmeVSH4lJqxXU7C87dKIB,"['country', 'country dawn', 'country road', 'outlaw country']"
5dEJc0rHuTVxtl1xljDbRv,6nB0iY1cjSY1KyhYyuIIKH,"['afrofuturism', 'alternative r&b', 'art pop', 'escape room', 'experimental r&b', 'trip hop']"
3Dytdl1wQFd39K7btbHa9u,137W8MRPWKqSmrBGDBFSop,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
4GuZFsPDk1Cn8cTJRMVBO5,47TMF0JlFsz01KilGzc5Ly,"['cali rap', 'westcoast flow']"
0cgy8EueqwMuYzOZrW5vPB,2YOYua8FpudSEiB9s88IgQ,"['meme rap', 'minnesota hip hop']"
44TV58bBAJnBO9keXGFUJM,7AKznuvHmbW7uZbUkLY4Je,[]
6bUchdGcZj2k1iLjTHm6kR,1He0ZKninbT4FMEV9hUZKn,['proto-hyperpop']
7rJPkmJs8zkdyGJzkjdCif,2JC4hZm1egeJDEolLsMwZ9,"['djent', 'melodic metalcore', 'north carolina metal', 'progressive metal']"
3zwjVlq2pYfzuASkLMreIC,3niPESDNKjDtTNfWzxZkXv,['dark pop']
1Y1FXNeJNZkVqJsQtq1EYQ,181bsRPaVXVlUKXrxwZfHK,"['houston rap', 'pop', 'rap', 'trap queen']"
1DIXPcTDzTj8ZMHt3PDt8p,3y24n3XhZ96wgwRXjvS17T,"['g funk', 'gangster rap', 'hip hop', 'west coast rap']"
6DrSj6b2NgwJPBlGq0Z3rN,1kvEEUb4TfMbXIuMj9wK6V,[]
7K71priwuwcWwbgfHVQJdq,7bu3H8JO7d0UbMoVzbo70s,"['new wave', 'permanent wave', 'rock', 'uk post-punk']"
0kUPAE2YS8ZeR17UYNo1Dr,1LKmZHnB2tjRXP5hSz0ONJ,['dfw rap']
5fYzuUxtcaJaRRaxMoM2DT,2yEwvVSSSUkcLeSTNyHKh8,"['alternative metal', 'art rock', 'nu metal', 'progressive metal', 'progressive rock', 'rock']"
3YPC3cT4i21avYRS9GzJ87,06S3fr7xEES7e3QPXhu3ay,[]
5eKGXOWXDwH4Mtftq26r55,30e8DmahrEamvLbFRPdWmk,"['arkansas country', 'contemporary country', 'country', 'country road']"
6EAkdtIHZ7vTSuWY1lxCyY,1VzMRLlJzJbV9hlin8Vl0g,[]
1Q34tAtTWI6RdW1qzFQiPb,0vn7UBvSQECKJm2817Yf1P,"['classic rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'singer-songwriter', 'soft rock']"
0dJhXJKZTpiaxTUc7uItIN,3tlXnStJ1fFhdScmQeLpuG,"['dmv rap', 'r&b', 'rap']"
0KZzDAi35vwXDOvBQSdWqc,6XwcepfAsPhrvwziGxhwju,"['dirty south rap', 'hip pop', 'miami hip hop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']"
7KXVIAuw3m2hxZanrpSXS3,2qoQgPAilErOKCwE2Y8wOG,[]
3c9kVsKF68xMzlS0NikVn3,6MwPCCR936cYfM1dLsGVnl,"['alternative metal', 'metalcore']"
2EjxmOw1V5MZ40S7rCiHeP,1skKkfQtM2dprTwRld9p3p,"['banda', 'musica mexicana', 'norteno']"
4tRhRLBxIZ34Iw0eCuiC03,1GVuCyb4PlArufUZDUnRQi,[]
7wpYSigAhQeZp3cdsMQ3Af,78SHxLdtysAXgywQ4vE0Oa,"['alternative metal', 'alternative rock', 'grunge', 'nu metal', 'post-grunge', 'rock']"
49dmh701KiNsdJEzYlIwQP,4k56oaLCDkCK8kYROsxwfq,[]
3Zpedv7nbUh1O0pPOLlYWq,3y24n3XhZ96wgwRXjvS17T,"['g funk', 'gangster rap', 'hip hop', 'west coast rap']"
4R0Yd7EHAVe7bn5r69JBEb,1vDMsekSQBJHEanCR6Ldra,[]
362eWZjmBRrMpcBsaFCJFM,6AVLthptCPhfrxlHadOBJD,"['neo soul', 'quiet storm', 'r&b', 'urban contemporary']"
7esMRbSzvLv60O70XLZFbc,5K4W6rqBFWDnAN6FQUkS6x,"['chicago rap', 'hip hop', 'rap']"
0B2jZPdSOyAO34UYFRcUDU,3JNr31WfX56vgwBuIcdOt4,[]
4lu2i1XcWo1zze2vealWlB,47UT3dPXB5ttLBnyM76GQc,[]
6wOYnPq1hPihRepcDClPUw,1yxSLGMDHlW21z4YXirZDS,"['dance pop', 'pop', 'pop rap']"
7FxWJX9m6V4d9lYZ5vogqW,3KwmxIhSe9UTSEF37kwngR,['electropop']
0VpNBRNpZOMy02HnUV4jgi,0wbdRQZMz6OiGgoMfkgne9,"['french hip hop', 'rap francais']"
6yHkPtl6UQ7RjtJLBPzbJw,1RyvyyTE3xzB2ZywiAwp0i,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
1OXEEStQRZJ6fhcz2gL0eJ,3nFkdlSjzX9mRTtwJOzDYB,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
2Wd9BMSfCBzGkxhBtvVW8w,5FjTnta7panxNiit4D1nej,[]
3nS9a01VvXHQriLqJYwRqG,2hlmm7s2ICUX0LVIhVFlZQ,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
7GOAqmZmqKFa2b3rCFZSlR,6lZ0xXnt7D1JXxv03XLX0K,"['doom metal', 'drone metal', 'funeral doom', 'post-doom metal', 'post-metal', 'seattle metal', 'sludge metal', 'stoner metal']"
4vO9dmzNRqDhFY3jD1a3P7,7LCp4MN0SOIVWlssid9KyE,"['album rock', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'hard rock', 'proto-metal', 'psychedelic rock']"
5JH1jQIEPa2SOyNven7UZr,7xWJcnBap6yhizf5f0Afxo,[]
2aYsvqd1ZVh535accPDSSA,6ZIgPKHzpcswB8zh7sRIhx,"['argentine rock', 'rock en espanol', 'ska argentino']"
0qFZCUcaoAqxKbmILzO5mz,3j8mUJUXcRRHOZSuy4AKv2,[]
0qxxdzyTlZqQjA7H4TyVJP,7FS3d9s3NuSFZyWLrUclZj,[]
1di9WbFB5XIo3V8m6xYzVt,4Lih7XFaMllSTt80aCVHE5,[]
6KOc6ViZB8NtfCVABmTe66,7gSjFKpVmDgC2MMsnN8CYq,"['neo soul', 'r&b', 'urban contemporary']"
19LvG1Uqsk9KyRRYhLC8Ib,2kCcBybjl3SAtIcwdWpUe3,"['cloud rap', 'emo rap', 'lgbtq+ hip hop']"
36LHWZPyV2tKuOrS5I8HCQ,1grN0519h2zYqpRtYbDZAl,['cali rap']
