track_uri,artist_uri,genres
3aQem4jVGdhtg116TmJnHz,3TVXtAsR1Inumwj472S9r4,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
5Ql5MmVcwJ5nvXwGyyeccg,3EmOYOUnhjJlLUcyP1KXNa,[]
3cKWkLs2Y5E9rIeglkWUB7,03546gvcoicKs6C10YdXvk,[]
46eHxWRKmtYhUHPDRgclt6,6B5c4sch27tWHAGdarpPaW,"['alternative metal', 'nu metal', 'post-grunge', 'south african rock']"
0AfierkBKnqNYLLgzaKg61,29XOeO6KIWxGthejQqn793,"['afrofuturism', 'alternative hip hop', 'electronica', 'escape room', 'experimental hip hop', 'glitch', 'glitch hop', 'indietronica', 'instrumental hip hop', 'intelligent dance music', 'jazztronica', 'psychedelic hip hop', 'wonky']"
5W8jRrZ6tWrTrqnKRtIQBf,6l3HvQ5sa6mXTsMTB19rO5,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
1V27TTo9FI2sl8xzGr3sCg,3Oim8XBPbznAa8Jj8QzNc8,"['experimental pop', 'indie surf']"
5CzixCxDkRXX9mScCmah8O,4q3ewBCX7sLwd24euuV69X,"['reggaeton', 'trap latino', 'urbano latino']"
6hbwFerDj55bMGZZvcInze,5q8HGNo0BjLWaTAhRtbwxa,"['contemporary country', 'country', 'country road', 'modern country rock']"
3GVkPk8mqxz0itaAriG1L7,15UsOTVnJzReFVN1VCnxy4,"['emo rap', 'miami hip hop']"
6lah2pPQVdTsfoMSHkyYmn,1Oa0bMld0A3u5OTYfMzp5h,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'west coast rap']"
1q1Uk6aQvyjavCsnTb5lFH,7GN9PivdemQRKjDt4z5Zv8,"['alternative r&b', 'lgbtq+ hip hop']"
75qTWvk6QCGRr1V31Q41qz,26opZSJcXshCmCwxgZQmBc,"['classic texas country', 'modern southern rock']"
1YB6cwZZEQzH0mpuPpPP9h,0ABk515kENDyATUdpCKVfW,"['alternative hip hop', 'boom bap', 'buffalo hip hop', 'drumless hip hop', 'hip hop', 'upstate ny rap']"
72PoJMDfdaw9gGECgA9kTZ,0IecGJbdBeYSOVtSPRehh5,"['psychedelic soul', 'rock keyboard', 'soul']"
0QBtvO8gDzh7IJHIYFtvt7,2waKklOyXKNqhqIOmE4yBA,['pop r&b']
4lMgyfWfk1btZafWBtHBoN,3DmG65yHQsMms7WAvrZOdt,"['downtempo', 'gregorian dance']"
40HSFJpsSRNDkuxA0IaL34,1294QqYm1VuxxjRiL9M0h9,"['alt z', 'modern indie pop']"
2BaXY7rHi4R2dJSxkOlzT9,0sKsReKseslDlhxmbN6wLk,"['detroit hip hop', 'scam rap']"
6fB2dO7TQ7eBw4nS1IMJgU,0sKsReKseslDlhxmbN6wLk,"['detroit hip hop', 'scam rap']"
4E6TkulZSnor5RzOkkW32U,4frHO7KPcfMjhnVdIMJ98c,"['dancehall', 'lovers rock']"
4WDazmiEd5PyY3taS11VfD,46auOkH1pk28rWrSoUNhLo,"['alternative country', 'queer country']"
3btjaxQXabhdWQ9fCvcLxe,5UNK7QU54g9GaZMR8kzMuR,['deep soft rock']
7ecOjXV0WlewEXaRo2kLNn,2S8UlyXW4JjjHcbeg8ddIo,"['contemporary r&b', 'girl group', 'hip pop', 'r&b', 'urban contemporary']"
6P5ulGKtC4x6RnFbzfpq8O,4FlG0V0jhLO4qGpayFOphj,"['kentucky hip hop', 'memphis hip hop']"
74HYrIbnpc2xKCTenv5qKM,7IfculRW2WXyzNQ8djX8WX,"['afrofuturism', 'alternative r&b', 'neo soul', 'r&b', 'soul']"
35ovElsgyAtQwYPYnZJECg,5pKCCKE2ajJHZ9KAiaK11H,"['barbadian pop', 'pop', 'urban contemporary']"
5uLvcpsm6FwKqLsaNBXEjS,1RyvyyTE3xzB2ZywiAwp0i,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
11wT4KLcZ1LEngx6Himubj,6RuutbNl5ny8LAf1uSK3fS,[]
5B0kgjHULYJhAQkK5XsMoC,4V8LLVI7PbaPR0K2TGSxFF,"['hip hop', 'rap']"
1f0mznZ7Wem8IVz1burk9z,6S2DUG8jgRzX8v9cnHo5J3,[]
1wuHkRdP7QBW75930TSSZa,5J3QKfJDFyjR3Q2qRcRaIU,['indie garage rock']
6MODDdkIMFmzCRYfSujN8u,1jeeiDAocAp1QSlxPrd0Ib,[]
6jKeXDUCImQkNdwKJviCPw,4OBJLual30L7gRl5UkeRcT,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
4BC1X9x29UQ0dnx1Wt6H3h,6sEmSush2d8LNFZEZ7QuN6,[]
1MfTuagMwz6HvPPR5q4aEh,2O0YGVBPONB6lPJYxb0q3w,"['soundtrack', 'video game music']"
4wavvLf7CTGjyYL33GQ04T,6MxlVTY6PmY8Nyn16fvxtb,"['reggae fusion', 'reggae rock']"
0CTwxnHgu6XrqodNN5lR1x,09b5OcuIELTdD7FfzQzcdB,"['fantasy metal', 'folk metal', 'gothic symphonic metal', 'italian folk metal', 'italian metal', 'italian power metal', 'melodic metal', 'power metal', 'tolkien metal']"
16jl1W58vcK8Jd5ZGbvd5f,1ybINI1qPiFbwDXamRtwxD,['alternative r&b']
0rBMP6VVGRgwnzZCLpijyl,13ubrt8QOOCPljQ2FL1Kca,"['east coast hip hop', 'hip hop', 'rap', 'trap']"
0V21OKHI5LkeRKCxfFkHUN,46SHBwWsqBkxI7EeeBEQG7,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']"
0h7QMc9ZRzA9QJrbEHytn2,5vV3bFXnN6D6N3Nj4xRvaV,['k-pop']
4KuTe71Jj1JBby18gdpmSL,0z6NZoFs1YyJOK4Lh45CoO,[]
1Ve3VWGJXInpIoji08BfDF,1maC5DWQKBAQqmjfp3qCpI,[]
3lJ7ZW2ehbDr1faBYsXVkn,2GqgiChw79vIYobk2zJFsO,[]
0QnGI4OgY8ReggLWvEXdgD,20qISvAhX20dpIbOOzGK3q,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']"
18c7QvhQJqJwuUqslK3H7E,3crnzLy8R4lVwaigKEOz7V,"['cali rap', 'gangster rap', 'hyphy', 'oakland hip hop', 'west coast rap']"
6y39UI6gdUexBGprn6pQo6,1FtBEIWAwvw5ymBen5GICR,[]
6ocdEoXmgyxVhIqFdjurE3,1GAS0rb4L8VTPvizAx2O9J,"['alternative hip hop', 'conscious hip hop', 'minnesota hip hop']"
5NqaRQWSVg9mnnmdCZJ17s,7kplJl06UmldxLKseURAYi,['modern country pop']
12CNybio0Bxean3F3uYugU,1ybINI1qPiFbwDXamRtwxD,['alternative r&b']
2Tl5fhF4itz5VeXHRVGIO5,2wY79sveU1sp5g7SokKOiI,"['pop', 'uk pop']"
18oTMyaI3ZGDmgvil0ouSr,2wgriTkRercaFwcdptYO2Y,['ghanaian pop']
7lCNgJUnROqgN9zIK0lx6a,4oLeXFyACqeem2VImYeBFe,"['edm', 'house', 'stutter house']"
7wuJGgpTNzbUyn26IOY6rj,0SD4eZCN4Kr0wQk56hCdh2,"['europop', 'new wave pop', 'soft rock']"
5cfYurP1XKldMBtvBBJiTs,4wQ3PyMz3WwJGI5uEqHUVR,"['album rock', 'blues rock', 'classic rock', 'country rock', 'double drumming', 'electric blues', 'folk rock', 'hard rock', 'heartland rock', 'jam band', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'southern rock']"
1sloxRIJEPKvsrh3PobV3z,0NejJRERm0DSdlk8kwuXJr,[]
7ef4DlsgrMEH11cDZd32M6,7CajNmpbOovFoOoasH2HaY,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
3PyzWG2oM9PynjZWxDfKAZ,3YCKuqpv9nCsIhJ2v8SMix,"['ccm', 'christian music', 'worship']"
6kle4XS7gyiUIb0tmsyCf4,6TVVIyd0fsRDGg6WzHKyTP,['souldies']
251aCFbFK1f4Jkil96E5g1,5R3Hr2cnCCjt220Jmt2xLf,"['brostep', 'edm', 'electro house', 'moombahton', 'pop dance', 'progressive electro house', 'slap house']"
37oNzLFCyw2On6e39bN2sp,1ybINI1qPiFbwDXamRtwxD,['alternative r&b']
0jvo9CjnbR0lYUDTSNTMiu,06HL4z0CvFAxyc27GXpf02,['pop']
7xLVubDWN5FbzMnNsGGHHE,67qogtRNI0GjUr8PlaG6Zh,"['brostep', 'canadian electronic', 'dubstep', 'edm', 'electro house', 'progressive electro house']"
3vdiWuVRCKbEBNmuaLPMxv,6sq7prp0tj9Abn89khmfja,['ethereal wave']
2AwLtOEK3qqZlYTPdBFhke,0V2oXYR7DtrZAEFeILRW2r,"['turkce drill', 'turkish trap']"
0LQAfRG0VRx3dI7KxY0Qb4,1VUYbwXCTxDT7U9KCNTEnE,['sasscore']
190KxB0mZYFuMe79IeOeQA,3XUc0mIwwU1ZlXYBB5jmIx,[]
3K56RPWS4q200IwHiIZcUD,1Zkxm1dM3HI3QkTmxUEVQA,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']"
4a5vGmPHuErAnJQ9I3Jgvk,6XpaIBNiVzIetEPCWDvAFP,['dance pop']
6YtA07OMNv8v9iGmbK6vKS,5uIOXZfo2om6w694sJHJji,[]
6YdIrhChsL7g8BpUuciTSI,6baWjwY7WiVPCZcW7pqqhz,['swedish soul']
2BaBwcllqDMkoD9184xOxP,44mEtidu0VdRkIqO4IbkNa,"['corrido', 'corridos tumbados', 'musica mexicana', 'norteno', 'nueva musica mexicana', 'sad sierreno', 'sierreno']"
3wGg9HL3ueZ5oQZ359S9k8,6mdiAmATAx73kdxrNrnlao,"['alternative metal', 'hard rock', 'metal', 'nwobhm', 'rock']"
38lANCGNjZV7zBfkjrqrO3,0tqSrr7nI6j3yOlMZJGCUX,[]
0iJC2K6Vl7GIciMZWI62hR,3x3jSlhyv5CiCZDZlaTq0M,"['melodic rap', 'vapor trap']"
4zM8riZXA68cLkr9qbDRZN,1W5khHrkcznsyChxwIBfAI,['portland metal']
6DpOkw7uLKtWIxJvBBTeRw,7xsuKSqVVN2JzUIpZV0GeW,[]
64VP3skE86iTvdOlbzuIcO,2zyz0VJqrDXeFDIyrfVXSo,"['piano rock', 'rock-and-roll', 'rockabilly']"
5KXvG7j3Uvs9yyORfjxPv8,0ABk515kENDyATUdpCKVfW,"['alternative hip hop', 'boom bap', 'buffalo hip hop', 'drumless hip hop', 'hip hop', 'upstate ny rap']"
6wO13Xb3EdHUNixFOEJ0KV,2zyz0VJqrDXeFDIyrfVXSo,"['piano rock', 'rock-and-roll', 'rockabilly']"
5AIA8TpGhuilLpHbA6c1bq,1kjO72M26jZkv0aaGxJaov,"['contemporary r&b', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']"
1Ov37jtRQ2YNAe8HzfczkL,06HL4z0CvFAxyc27GXpf02,['pop']
6j5zFSiZO1BZmTl9RZ0Xc0,3FUY2gzHeIiaesXtOAdB7A,"['dance pop', 'neo mellow', 'pop', 'pop rock']"
5sTSHMhYtueKdHpfOTCHnW,2Yay7AEbEMkkmCeE0OYeXA,[]
6gI9b2VsoWhjhIuIeToDVs,2YZyLoL8N0Wb9xBt1NhZWg,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
2nDwKbQapPkDvoN1Hs3JaH,2JSwnwAT1BupAQkhqcRCUw,"['detroit trap', 'scam rap']"
7snnTlaWaN39nfN1PhUaT8,3l4fsEzoeabsET7ddv0lZW,"['funk mandelao', 'funk mtg', 'phonk brasileiro']"
2M9okXXAS96uYT7qNjyMNM,1grN0519h2zYqpRtYbDZAl,['cali rap']
3mSAhPW73pyeKoquI7E8B3,30e8DmahrEamvLbFRPdWmk,"['arkansas country', 'contemporary country', 'country', 'country road']"
13OSDbYiKNu6Rs57XdgALS,0x7qiZJaal6j8qS7yCydFk,['aesthetic rap']
7491l7CnemDkYH0jsoLvYr,3x3jSlhyv5CiCZDZlaTq0M,"['melodic rap', 'vapor trap']"
2EHVjRFRSsXQaHAsys74Us,6ydoSd3N2mwgwBHtF6K7eX,['pop']
5n3Y0msGrAXvfgVYQCgtsB,0aYY5NNI8EKnvLckbACC8x,['grunge']
3thdkIE4oHaFmSwZNLdFAJ,7ibAWtDtmEfaVhc1FJ3Vl9,"['pop r&b', 'r&b']"
0JXXNGljqupsJaZsgSbMZV,360IAlyVv4PCEVjgyMZrxK,['r&b']
6Pg7ZHTbYXvBf4TNVV0NXi,4PrinKSrmILmo0kERG0Ogn,"['contemporary r&b', 'dirty south rap', 'hip pop', 'miami hip hop', 'r&b', 'rap latina', 'southern hip hop', 'trap queen']"
6qmvAJSUfVGMubvI2awW7p,45dkTj5sMRSjrmBSBeiHym,"['alt z', 'pop']"
2kcbSjvCyeryZVfgvdt4FQ,2xiIXseIJcq3nG7C8fHeBj,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge', 'rock']"
4xEDawqLVwsC331aF6Z33x,5vBKu1igxFo6g1sHADkIdg,"['anti-folk', 'piano rock']"
6KspMzABlWnqIocnsPB3aH,25gsQNkL2qTq778NWyughs,['salsa peruana']
0fdUPvbCjrWd66VxUVNgvb,6tbLPxj1uQ6vsRQZI2YFCT,"['alternative metal', 'nu metal', 'post-grunge']"
6AnNJTaiOiYFHa6z2KBDcd,7e1ICztHM2Sc4JNLxeMXYl,"['canadian contemporary r&b', 'r&b']"
3fs1iyOIDwcV7XH4AiinLu,1Wq88QWfz4ceeY24rXkITZ,[]
2E4INiVkDRBXXkFL4kB1Vk,5SXuuuRpukkTvsLuUknva1,"['hip hop', 'rap']"
3JWh19WsndEFg0UFRFeTiU,7rkW85dBwwrJtlHRDkJDAC,"['canadian hip hop', 'canadian trap', 'melodic rap', 'rap', 'toronto rap', 'trap']"
2PN3gbuBn5WBEwrEJH3xiu,3UVRliakQfa1pMWIsNuiZ8,"['contemporary r&b', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']"
5EuQzakrNyaOLsVS4pi1Az,1mG23iQeR29Ojhq89D5gbh,"['golden age hip hop', 'old school hip hop', 'philly rap']"
