,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.739,0.62,5,-7.395,0,0.0777,0.657,0.0,0.105,0.51,97.963,audio_features,1OSx1msdttSD5HHnfrbXJi,spotify:track:1OSx1msdttSD5HHnfrbXJi,https://api.spotify.com/v1/tracks/1OSx1msdttSD5HHnfrbXJi,https://api.spotify.com/v1/audio-analysis/1OSx1msdttSD5HHnfrbXJi,193646,4
1,0.832,0.561,1,-9.314,0,0.297,0.319,0.0,0.112,0.62,134.052,audio_features,2C6VrFvuowHKxYq34uD3HD,spotify:track:2C6VrFvuowHKxYq34uD3HD,https://api.spotify.com/v1/tracks/2C6VrFvuowHKxYq34uD3HD,https://api.spotify.com/v1/audio-analysis/2C6VrFvuowHKxYq34uD3HD,172069,4
2,0.589,0.652,10,-7.498,1,0.373,0.704,0.00055,0.125,0.486,158.49,audio_features,3uouaAVXpQR3X8RYkJyitQ,spotify:track:3uouaAVXpQR3X8RYkJyitQ,https://api.spotify.com/v1/tracks/3uouaAVXpQR3X8RYkJyitQ,https://api.spotify.com/v1/audio-analysis/3uouaAVXpQR3X8RYkJyitQ,194960,4
3,0.628,0.671,5,-6.273,1,0.0271,0.000623,0.762,0.11,0.291,112.016,audio_features,6IQVEjfLUChdMjeUm2guMO,spotify:track:6IQVEjfLUChdMjeUm2guMO,https://api.spotify.com/v1/tracks/6IQVEjfLUChdMjeUm2guMO,https://api.spotify.com/v1/audio-analysis/6IQVEjfLUChdMjeUm2guMO,231333,3
4,0.639,0.703,4,-6.33,0,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,audio_features,4gzsuuZypVbxs0Af1LSZyB,spotify:track:4gzsuuZypVbxs0Af1LSZyB,https://api.spotify.com/v1/tracks/4gzsuuZypVbxs0Af1LSZyB,https://api.spotify.com/v1/audio-analysis/4gzsuuZypVbxs0Af1LSZyB,207301,4
5,0.419,0.892,8,-5.604,1,0.0618,7.59e-05,2.4e-06,0.127,0.6,146.97,audio_features,63HHF9ZpCIisujKFk2rixR,spotify:track:63HHF9ZpCIisujKFk2rixR,https://api.spotify.com/v1/tracks/63HHF9ZpCIisujKFk2rixR,https://api.spotify.com/v1/audio-analysis/63HHF9ZpCIisujKFk2rixR,191584,4
6,0.498,0.355,2,-8.882,1,0.0289,0.445,0.0882,0.115,0.276,155.05,audio_features,5ry6DGjhCKVdo6ewfwhJqd,spotify:track:5ry6DGjhCKVdo6ewfwhJqd,https://api.spotify.com/v1/tracks/5ry6DGjhCKVdo6ewfwhJqd,https://api.spotify.com/v1/audio-analysis/5ry6DGjhCKVdo6ewfwhJqd,337053,3
7,0.383,0.982,1,-3.188,1,0.127,1.22e-05,0.000152,0.215,0.189,195.931,audio_features,5A0OVRW65uZw8otPcEWT6g,spotify:track:5A0OVRW65uZw8otPcEWT6g,https://api.spotify.com/v1/tracks/5A0OVRW65uZw8otPcEWT6g,https://api.spotify.com/v1/audio-analysis/5A0OVRW65uZw8otPcEWT6g,174800,4
8,0.415,0.339,8,-16.089,1,0.299,0.442,4.99e-05,0.749,0.516,99.918,audio_features,4OWDaUwMAtw6UIvg5FXBxR,spotify:track:4OWDaUwMAtw6UIvg5FXBxR,https://api.spotify.com/v1/tracks/4OWDaUwMAtw6UIvg5FXBxR,https://api.spotify.com/v1/audio-analysis/4OWDaUwMAtw6UIvg5FXBxR,207306,4
9,0.887,0.694,6,-8.181,0,0.309,0.0168,0.0,0.154,0.874,160.02,audio_features,4z3dqTVGmEAYi0CEkXyWdr,spotify:track:4z3dqTVGmEAYi0CEkXyWdr,https://api.spotify.com/v1/tracks/4z3dqTVGmEAYi0CEkXyWdr,https://api.spotify.com/v1/audio-analysis/4z3dqTVGmEAYi0CEkXyWdr,235427,4
10,0.438,0.793,5,-6.883,0,0.346,0.109,0.0,0.241,0.462,175.876,audio_features,0Etjx0wbI3vCJAA054J5ZY,spotify:track:0Etjx0wbI3vCJAA054J5ZY,https://api.spotify.com/v1/tracks/0Etjx0wbI3vCJAA054J5ZY,https://api.spotify.com/v1/audio-analysis/0Etjx0wbI3vCJAA054J5ZY,197852,4
11,0.669,0.59,8,-9.593,1,0.114,0.0237,0.0,0.126,0.264,131.131,audio_features,6CbF4u1SeE2ayplozWWUVF,spotify:track:6CbF4u1SeE2ayplozWWUVF,https://api.spotify.com/v1/tracks/6CbF4u1SeE2ayplozWWUVF,https://api.spotify.com/v1/audio-analysis/6CbF4u1SeE2ayplozWWUVF,205848,4
12,0.672,0.84,1,-5.191,1,0.342,0.00848,0.0,0.171,0.768,94.669,audio_features,65l5KYs1YMFplVybSvFZqZ,spotify:track:65l5KYs1YMFplVybSvFZqZ,https://api.spotify.com/v1/tracks/65l5KYs1YMFplVybSvFZqZ,https://api.spotify.com/v1/audio-analysis/65l5KYs1YMFplVybSvFZqZ,218480,4
13,0.591,0.739,4,-6.451,1,0.429,0.141,0.0,0.48,0.613,172.414,audio_features,4Tttv4p2xuAq1LpQ7LI95E,spotify:track:4Tttv4p2xuAq1LpQ7LI95E,https://api.spotify.com/v1/tracks/4Tttv4p2xuAq1LpQ7LI95E,https://api.spotify.com/v1/audio-analysis/4Tttv4p2xuAq1LpQ7LI95E,263600,4
14,0.864,0.627,11,-7.157,1,0.349,0.0282,0.0,0.379,0.677,127.914,audio_features,2EBYjdMUtc3paqfjeJi0pb,spotify:track:2EBYjdMUtc3paqfjeJi0pb,https://api.spotify.com/v1/tracks/2EBYjdMUtc3paqfjeJi0pb,https://api.spotify.com/v1/audio-analysis/2EBYjdMUtc3paqfjeJi0pb,150073,4
15,0.81,0.788,9,-6.236,0,0.251,0.0104,0.0,0.0906,0.639,93.934,audio_features,2ScyHxAC25oZf6RaP0bCJV,spotify:track:2ScyHxAC25oZf6RaP0bCJV,https://api.spotify.com/v1/tracks/2ScyHxAC25oZf6RaP0bCJV,https://api.spotify.com/v1/audio-analysis/2ScyHxAC25oZf6RaP0bCJV,263040,4
16,0.799,0.775,2,-6.027,1,0.0592,0.0453,0.004,0.344,0.455,116.039,audio_features,1Qokr1fQFm6DRtzeNPfKIM,spotify:track:1Qokr1fQFm6DRtzeNPfKIM,https://api.spotify.com/v1/tracks/1Qokr1fQFm6DRtzeNPfKIM,https://api.spotify.com/v1/audio-analysis/1Qokr1fQFm6DRtzeNPfKIM,184080,4
17,0.458,0.912,5,-3.666,1,0.0618,0.0173,0.0,0.363,0.611,104.522,audio_features,6EsBn1Md8C5YdbCzvwvZq8,spotify:track:6EsBn1Md8C5YdbCzvwvZq8,https://api.spotify.com/v1/tracks/6EsBn1Md8C5YdbCzvwvZq8,https://api.spotify.com/v1/audio-analysis/6EsBn1Md8C5YdbCzvwvZq8,257760,4
18,0.708,0.449,4,-4.369,0,0.0286,0.451,0.0,0.111,0.63,84.396,audio_features,6HJIZUOiZDE814XMhRGSZN,spotify:track:6HJIZUOiZDE814XMhRGSZN,https://api.spotify.com/v1/tracks/6HJIZUOiZDE814XMhRGSZN,https://api.spotify.com/v1/audio-analysis/6HJIZUOiZDE814XMhRGSZN,214000,1
19,0.631,0.518,0,-8.771,1,0.0303,0.274,0.0,0.088,0.205,93.023,audio_features,5enxwA8aAbwZbf5qCHORXi,spotify:track:5enxwA8aAbwZbf5qCHORXi,https://api.spotify.com/v1/tracks/5enxwA8aAbwZbf5qCHORXi,https://api.spotify.com/v1/audio-analysis/5enxwA8aAbwZbf5qCHORXi,613027,4
20,0.615,0.906,7,-8.177,1,0.0378,0.000518,0.929,0.117,0.0361,121.991,audio_features,5QeJCkBNHe6a8T5uusmqIv,spotify:track:5QeJCkBNHe6a8T5uusmqIv,https://api.spotify.com/v1/tracks/5QeJCkBNHe6a8T5uusmqIv,https://api.spotify.com/v1/audio-analysis/5QeJCkBNHe6a8T5uusmqIv,236500,4
