,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.802,0.23,0,-13.274,0,0.0879,0.964,0.0,0.115,0.556,105.873,audio_features,1MoF2Agl5fwTlSJxG305xT,spotify:track:1MoF2Agl5fwTlSJxG305xT,https://api.spotify.com/v1/tracks/1MoF2Agl5fwTlSJxG305xT,https://api.spotify.com/v1/audio-analysis/1MoF2Agl5fwTlSJxG305xT,184493,3
1,0.612,0.577,0,-5.144,1,0.0357,0.394,3.45e-06,0.0814,0.405,157.617,audio_features,3UgduSS2bCMmatRox69u3g,spotify:track:3UgduSS2bCMmatRox69u3g,https://api.spotify.com/v1/tracks/3UgduSS2bCMmatRox69u3g,https://api.spotify.com/v1/audio-analysis/3UgduSS2bCMmatRox69u3g,308880,4
2,0.949,0.452,10,-4.246,0,0.058,0.032,6.96e-06,0.0749,0.72,100.981,audio_features,26SKHsvMoDNRgpKg8klf1r,spotify:track:26SKHsvMoDNRgpKg8klf1r,https://api.spotify.com/v1/tracks/26SKHsvMoDNRgpKg8klf1r,https://api.spotify.com/v1/audio-analysis/26SKHsvMoDNRgpKg8klf1r,231627,4
3,0.721,0.379,3,-11.281,1,0.23,0.65,8.76e-06,0.12,0.179,81.93,audio_features,0WmoLUqAtbN2IuSGVjL8X5,spotify:track:0WmoLUqAtbN2IuSGVjL8X5,https://api.spotify.com/v1/tracks/0WmoLUqAtbN2IuSGVjL8X5,https://api.spotify.com/v1/audio-analysis/0WmoLUqAtbN2IuSGVjL8X5,180024,4
4,0.458,0.485,1,-10.749,0,0.0385,0.38,0.919,0.199,0.434,131.356,audio_features,7jPNoWAyDdfnzU3mUBI0HI,spotify:track:7jPNoWAyDdfnzU3mUBI0HI,https://api.spotify.com/v1/tracks/7jPNoWAyDdfnzU3mUBI0HI,https://api.spotify.com/v1/audio-analysis/7jPNoWAyDdfnzU3mUBI0HI,341346,4
5,0.613,0.562,1,-9.535,1,0.174,0.93,0.0,0.375,0.597,84.855,audio_features,6m2mY7PWPLsgeHkokojyyw,spotify:track:6m2mY7PWPLsgeHkokojyyw,https://api.spotify.com/v1/tracks/6m2mY7PWPLsgeHkokojyyw,https://api.spotify.com/v1/audio-analysis/6m2mY7PWPLsgeHkokojyyw,196859,4
6,0.693,0.437,10,-11.564,0,0.222,0.701,0.0102,0.123,0.282,83.173,audio_features,2RmL6juiTzEULPKVkZdjeG,spotify:track:2RmL6juiTzEULPKVkZdjeG,https://api.spotify.com/v1/tracks/2RmL6juiTzEULPKVkZdjeG,https://api.spotify.com/v1/audio-analysis/2RmL6juiTzEULPKVkZdjeG,170822,4
7,0.628,0.497,5,-14.462,0,0.156,0.192,0.442,0.0753,0.194,125.063,audio_features,0p1al73xNxNbUzKKSlAfqI,spotify:track:0p1al73xNxNbUzKKSlAfqI,https://api.spotify.com/v1/tracks/0p1al73xNxNbUzKKSlAfqI,https://api.spotify.com/v1/audio-analysis/0p1al73xNxNbUzKKSlAfqI,138240,4
8,0.686,0.73,4,-7.954,0,0.0269,0.00288,0.478,0.0641,0.507,112.245,audio_features,7yrZCBUokAMTJtOzXSHKYu,spotify:track:7yrZCBUokAMTJtOzXSHKYu,https://api.spotify.com/v1/tracks/7yrZCBUokAMTJtOzXSHKYu,https://api.spotify.com/v1/audio-analysis/7yrZCBUokAMTJtOzXSHKYu,213293,4
9,0.656,0.838,5,-8.407,1,0.041,0.25,0.00281,0.207,0.74,132.981,audio_features,3NanY0K4okhIQzL33U5Ad8,spotify:track:3NanY0K4okhIQzL33U5Ad8,https://api.spotify.com/v1/tracks/3NanY0K4okhIQzL33U5Ad8,https://api.spotify.com/v1/audio-analysis/3NanY0K4okhIQzL33U5Ad8,131253,4
10,0.276,0.447,3,-8.945,1,0.0391,0.782,0.601,0.137,0.718,170.872,audio_features,61zkyIkZwG6UTAbbNg97zU,spotify:track:61zkyIkZwG6UTAbbNg97zU,https://api.spotify.com/v1/tracks/61zkyIkZwG6UTAbbNg97zU,https://api.spotify.com/v1/audio-analysis/61zkyIkZwG6UTAbbNg97zU,329627,3
11,0.697,0.474,9,-6.663,1,0.0351,0.603,0.0,0.11,0.249,127.904,audio_features,0rFOs9paloAvEtzwDX1Kmc,spotify:track:0rFOs9paloAvEtzwDX1Kmc,https://api.spotify.com/v1/tracks/0rFOs9paloAvEtzwDX1Kmc,https://api.spotify.com/v1/audio-analysis/0rFOs9paloAvEtzwDX1Kmc,196280,4
12,0.303,0.291,5,-12.932,1,0.0318,0.934,0.824,0.363,0.197,111.327,audio_features,19doORzyzOFARW6I0Fydc8,spotify:track:19doORzyzOFARW6I0Fydc8,https://api.spotify.com/v1/tracks/19doORzyzOFARW6I0Fydc8,https://api.spotify.com/v1/audio-analysis/19doORzyzOFARW6I0Fydc8,265253,3
13,0.36,0.3,11,-11.515,0,0.0381,0.408,0.0,0.0916,0.361,145.935,audio_features,5Kn5jBrNiTF1V5woyKOfkt,spotify:track:5Kn5jBrNiTF1V5woyKOfkt,https://api.spotify.com/v1/tracks/5Kn5jBrNiTF1V5woyKOfkt,https://api.spotify.com/v1/audio-analysis/5Kn5jBrNiTF1V5woyKOfkt,242500,4
14,0.454,0.366,2,-8.98,0,0.0304,0.0682,0.247,0.123,0.264,78.465,audio_features,5StrN0F4XI5e0BHP32THhl,spotify:track:5StrN0F4XI5e0BHP32THhl,https://api.spotify.com/v1/tracks/5StrN0F4XI5e0BHP32THhl,https://api.spotify.com/v1/audio-analysis/5StrN0F4XI5e0BHP32THhl,240640,4
15,0.721,0.618,0,-9.196,1,0.0863,0.00582,0.0,0.338,0.158,120.114,audio_features,2RrIl048oqcKjJA7FLd0Qh,spotify:track:2RrIl048oqcKjJA7FLd0Qh,https://api.spotify.com/v1/tracks/2RrIl048oqcKjJA7FLd0Qh,https://api.spotify.com/v1/audio-analysis/2RrIl048oqcKjJA7FLd0Qh,213987,4
16,0.559,0.58,1,-5.445,1,0.357,0.015,0.0,0.263,0.139,117.787,audio_features,0qtODBXCDFVwrMFNes78TU,spotify:track:0qtODBXCDFVwrMFNes78TU,https://api.spotify.com/v1/tracks/0qtODBXCDFVwrMFNes78TU,https://api.spotify.com/v1/audio-analysis/0qtODBXCDFVwrMFNes78TU,225246,4
