,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.856,0.696,6,-3.51,1,0.226,0.0405,8.75e-06,0.0901,0.718,89.738,audio_features,3GMR3hyv8BccozoebVMve3,spotify:track:3GMR3hyv8BccozoebVMve3,https://api.spotify.com/v1/tracks/3GMR3hyv8BccozoebVMve3,https://api.spotify.com/v1/audio-analysis/3GMR3hyv8BccozoebVMve3,278200,4
1,0.654,0.797,5,-5.603,0,0.272,0.011,0.00282,0.114,0.437,129.91,audio_features,5iec4vPvfL3M1aVKtKhnKx,spotify:track:5iec4vPvfL3M1aVKtKhnKx,https://api.spotify.com/v1/tracks/5iec4vPvfL3M1aVKtKhnKx,https://api.spotify.com/v1/audio-analysis/5iec4vPvfL3M1aVKtKhnKx,210312,4
2,0.689,0.739,2,-5.81,1,0.026,1.51e-05,0.509,0.064,0.578,120.423,audio_features,0q6LuUqGLUiCPP1cbdwFs3,spotify:track:0q6LuUqGLUiCPP1cbdwFs3,https://api.spotify.com/v1/tracks/0q6LuUqGLUiCPP1cbdwFs3,https://api.spotify.com/v1/audio-analysis/0q6LuUqGLUiCPP1cbdwFs3,233867,4
3,0.614,0.421,5,-17.0,1,0.048,0.372,0.859,0.11,0.168,74.998,audio_features,72QQoIEAP8WJ0kJoypW0s8,spotify:track:72QQoIEAP8WJ0kJoypW0s8,https://api.spotify.com/v1/tracks/72QQoIEAP8WJ0kJoypW0s8,https://api.spotify.com/v1/audio-analysis/72QQoIEAP8WJ0kJoypW0s8,355200,4
4,0.658,0.797,11,-6.902,1,0.0878,0.177,0.0,0.247,0.623,157.866,audio_features,4UWleADocovQFXMcWvBJol,spotify:track:4UWleADocovQFXMcWvBJol,https://api.spotify.com/v1/tracks/4UWleADocovQFXMcWvBJol,https://api.spotify.com/v1/audio-analysis/4UWleADocovQFXMcWvBJol,161825,4
5,0.769,0.624,1,-10.559,0,0.197,0.173,1.02e-06,0.378,0.569,95.232,audio_features,2e3YoddL43UkaSqhYGqfKz,spotify:track:2e3YoddL43UkaSqhYGqfKz,https://api.spotify.com/v1/tracks/2e3YoddL43UkaSqhYGqfKz,https://api.spotify.com/v1/audio-analysis/2e3YoddL43UkaSqhYGqfKz,239067,4
6,0.923,0.437,7,-8.848,0,0.487,0.38,0.0,0.0591,0.264,120.0,audio_features,3knmP0f7Tg4X5Fps6ARLwF,spotify:track:3knmP0f7Tg4X5Fps6ARLwF,https://api.spotify.com/v1/tracks/3knmP0f7Tg4X5Fps6ARLwF,https://api.spotify.com/v1/audio-analysis/3knmP0f7Tg4X5Fps6ARLwF,190000,4
7,0.859,0.434,6,-12.591,0,0.216,0.324,0.000585,0.275,0.503,119.97,audio_features,2pd1q68ypWXXUhcK1WjstN,spotify:track:2pd1q68ypWXXUhcK1WjstN,https://api.spotify.com/v1/tracks/2pd1q68ypWXXUhcK1WjstN,https://api.spotify.com/v1/audio-analysis/2pd1q68ypWXXUhcK1WjstN,244000,4
8,0.543,0.623,10,-4.067,1,0.0314,0.204,0.0,0.161,0.171,127.884,audio_features,6nbXYLeP21ksEQNFrHl2a2,spotify:track:6nbXYLeP21ksEQNFrHl2a2,https://api.spotify.com/v1/tracks/6nbXYLeP21ksEQNFrHl2a2,https://api.spotify.com/v1/audio-analysis/6nbXYLeP21ksEQNFrHl2a2,198750,4
9,0.723,0.78,10,-5.588,0,0.0542,0.000621,0.00337,0.501,0.662,128.003,audio_features,71cYkGMbhkWXHkvc8VZ8ps,spotify:track:71cYkGMbhkWXHkvc8VZ8ps,https://api.spotify.com/v1/tracks/71cYkGMbhkWXHkvc8VZ8ps,https://api.spotify.com/v1/audio-analysis/71cYkGMbhkWXHkvc8VZ8ps,235147,4
10,0.633,0.858,2,-6.452,1,0.07,0.0769,0.00041,0.0244,0.965,90.053,audio_features,4cjWVc72Lp9wkwm73AtXNf,spotify:track:4cjWVc72Lp9wkwm73AtXNf,https://api.spotify.com/v1/tracks/4cjWVc72Lp9wkwm73AtXNf,https://api.spotify.com/v1/audio-analysis/4cjWVc72Lp9wkwm73AtXNf,272670,4
11,0.782,0.927,1,-4.741,1,0.425,0.275,0.0,0.417,0.67,140.029,audio_features,5OoQo1NhMJlvHr0E6pU4Cy,spotify:track:5OoQo1NhMJlvHr0E6pU4Cy,https://api.spotify.com/v1/tracks/5OoQo1NhMJlvHr0E6pU4Cy,https://api.spotify.com/v1/audio-analysis/5OoQo1NhMJlvHr0E6pU4Cy,219531,4
12,0.517,0.565,3,-4.585,1,0.0285,0.614,0.0,0.419,0.497,171.873,audio_features,0IIUjaCJHVGmDeIxGiPQ80,spotify:track:0IIUjaCJHVGmDeIxGiPQ80,https://api.spotify.com/v1/tracks/0IIUjaCJHVGmDeIxGiPQ80,https://api.spotify.com/v1/audio-analysis/0IIUjaCJHVGmDeIxGiPQ80,224833,4
13,0.786,0.828,11,-7.107,1,0.0534,0.0231,0.0,0.141,0.252,110.004,audio_features,3llcAeSoZUVK3qNi2osYov,spotify:track:3llcAeSoZUVK3qNi2osYov,https://api.spotify.com/v1/tracks/3llcAeSoZUVK3qNi2osYov,https://api.spotify.com/v1/audio-analysis/3llcAeSoZUVK3qNi2osYov,167052,4
14,0.888,0.584,7,-13.308,1,0.112,0.0385,3.19e-06,0.0625,0.762,104.705,audio_features,5vpDsiVqiZLRwKAzQO708k,spotify:track:5vpDsiVqiZLRwKAzQO708k,https://api.spotify.com/v1/tracks/5vpDsiVqiZLRwKAzQO708k,https://api.spotify.com/v1/audio-analysis/5vpDsiVqiZLRwKAzQO708k,334440,4
15,0.785,0.737,9,-5.306,1,0.0363,0.042,0.000107,0.108,0.971,125.447,audio_features,67eX1ovaHyVPUinMHeUtIM,spotify:track:67eX1ovaHyVPUinMHeUtIM,https://api.spotify.com/v1/tracks/67eX1ovaHyVPUinMHeUtIM,https://api.spotify.com/v1/audio-analysis/67eX1ovaHyVPUinMHeUtIM,218960,4
16,0.745,0.646,7,-8.151,0,0.0596,0.156,0.00119,0.199,0.308,117.028,audio_features,0zcKU98jIjZAxGPQZ5sDpe,spotify:track:0zcKU98jIjZAxGPQZ5sDpe,https://api.spotify.com/v1/tracks/0zcKU98jIjZAxGPQZ5sDpe,https://api.spotify.com/v1/audio-analysis/0zcKU98jIjZAxGPQZ5sDpe,184314,4
17,0.723,0.737,11,-7.566,0,0.0386,0.00435,0.00261,0.116,0.689,123.039,audio_features,7z84Fwf1R3Z2BwHCP620CI,spotify:track:7z84Fwf1R3Z2BwHCP620CI,https://api.spotify.com/v1/tracks/7z84Fwf1R3Z2BwHCP620CI,https://api.spotify.com/v1/audio-analysis/7z84Fwf1R3Z2BwHCP620CI,207652,4
18,0.884,0.423,6,-10.181,0,0.275,0.115,0.0,0.0895,0.259,95.753,audio_features,5JS1gz9zP4GTy0LZYvSeUK,spotify:track:5JS1gz9zP4GTy0LZYvSeUK,https://api.spotify.com/v1/tracks/5JS1gz9zP4GTy0LZYvSeUK,https://api.spotify.com/v1/audio-analysis/5JS1gz9zP4GTy0LZYvSeUK,159973,4
19,0.354,0.825,6,-5.592,0,0.228,0.402,0.0,0.104,0.349,154.562,audio_features,5HpMZmGVA7YJiRg8SNVFH4,spotify:track:5HpMZmGVA7YJiRg8SNVFH4,https://api.spotify.com/v1/tracks/5HpMZmGVA7YJiRg8SNVFH4,https://api.spotify.com/v1/audio-analysis/5HpMZmGVA7YJiRg8SNVFH4,211375,4
20,0.711,0.611,1,-5.451,1,0.365,0.00582,0.0,0.23,0.143,134.111,audio_features,2P0Si3pfikrrkpLLnrXaLR,spotify:track:2P0Si3pfikrrkpLLnrXaLR,https://api.spotify.com/v1/tracks/2P0Si3pfikrrkpLLnrXaLR,https://api.spotify.com/v1/audio-analysis/2P0Si3pfikrrkpLLnrXaLR,252262,4
21,0.379,0.219,5,-11.196,1,0.0307,0.707,0.000691,0.118,0.188,79.786,audio_features,4EWBhKf1fOFnyMtUzACXEc,spotify:track:4EWBhKf1fOFnyMtUzACXEc,https://api.spotify.com/v1/tracks/4EWBhKf1fOFnyMtUzACXEc,https://api.spotify.com/v1/audio-analysis/4EWBhKf1fOFnyMtUzACXEc,267520,4
22,0.639,0.67,3,-8.837,1,0.0291,0.166,0.0343,0.249,0.593,106.902,audio_features,5yfJCU4qGsSVQEDyprCo0q,spotify:track:5yfJCU4qGsSVQEDyprCo0q,https://api.spotify.com/v1/tracks/5yfJCU4qGsSVQEDyprCo0q,https://api.spotify.com/v1/audio-analysis/5yfJCU4qGsSVQEDyprCo0q,210667,4
23,0.501,0.36,7,-15.359,1,0.1,0.904,3.76e-06,0.118,0.411,152.286,audio_features,0vjnLqEwVxEyFhaS9MVVoe,spotify:track:0vjnLqEwVxEyFhaS9MVVoe,https://api.spotify.com/v1/tracks/0vjnLqEwVxEyFhaS9MVVoe,https://api.spotify.com/v1/audio-analysis/0vjnLqEwVxEyFhaS9MVVoe,143453,4
