,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.364,0.841,8,-4.831,1,0.119,0.000402,0.0,0.242,0.0837,100.14,audio_features,5eEj1vkMIqtmvaTk7cS4UC,spotify:track:5eEj1vkMIqtmvaTk7cS4UC,https://api.spotify.com/v1/tracks/5eEj1vkMIqtmvaTk7cS4UC,https://api.spotify.com/v1/audio-analysis/5eEj1vkMIqtmvaTk7cS4UC,305840,5
1,0.705,0.924,11,-6.783,0,0.177,0.00576,0.927,0.36,0.378,154.008,audio_features,4orMsymF399H3xKBc0AIhx,spotify:track:4orMsymF399H3xKBc0AIhx,https://api.spotify.com/v1/tracks/4orMsymF399H3xKBc0AIhx,https://api.spotify.com/v1/audio-analysis/4orMsymF399H3xKBc0AIhx,185522,4
2,0.663,0.592,10,-8.647,0,0.177,0.836,0.00114,0.121,0.778,139.893,audio_features,7et2onH9uPFS3JSlMOwaqb,spotify:track:7et2onH9uPFS3JSlMOwaqb,https://api.spotify.com/v1/tracks/7et2onH9uPFS3JSlMOwaqb,https://api.spotify.com/v1/audio-analysis/7et2onH9uPFS3JSlMOwaqb,192037,4
3,0.781,0.277,8,-9.35,1,0.326,0.0408,0.000339,0.0754,0.302,163.987,audio_features,7LaI3mRTJu66r9HKdv7iBx,spotify:track:7LaI3mRTJu66r9HKdv7iBx,https://api.spotify.com/v1/tracks/7LaI3mRTJu66r9HKdv7iBx,https://api.spotify.com/v1/audio-analysis/7LaI3mRTJu66r9HKdv7iBx,204841,4
4,0.731,0.685,5,-8.539,0,0.0695,0.255,7.79e-05,0.224,0.952,157.953,audio_features,4jnMAHmAkUkXNPRkKgecUJ,spotify:track:4jnMAHmAkUkXNPRkKgecUJ,https://api.spotify.com/v1/tracks/4jnMAHmAkUkXNPRkKgecUJ,https://api.spotify.com/v1/audio-analysis/4jnMAHmAkUkXNPRkKgecUJ,162735,4
5,0.495,0.759,8,-9.14,1,0.468,0.575,0.0,0.17,0.503,156.627,audio_features,59ClUavkkfRhryajZBn2Lf,spotify:track:59ClUavkkfRhryajZBn2Lf,https://api.spotify.com/v1/tracks/59ClUavkkfRhryajZBn2Lf,https://api.spotify.com/v1/audio-analysis/59ClUavkkfRhryajZBn2Lf,225000,4
6,0.604,0.827,5,-5.963,0,0.287,0.361,0.0,0.0974,0.482,175.968,audio_features,5HkVXQ7MEtt49xiUrq7ngT,spotify:track:5HkVXQ7MEtt49xiUrq7ngT,https://api.spotify.com/v1/tracks/5HkVXQ7MEtt49xiUrq7ngT,https://api.spotify.com/v1/audio-analysis/5HkVXQ7MEtt49xiUrq7ngT,193636,4
7,0.802,0.787,8,-5.489,0,0.0399,0.0242,0.000469,0.111,0.942,120.012,audio_features,40YQDJrYZFIP24QVfUi9Ar,spotify:track:40YQDJrYZFIP24QVfUi9Ar,https://api.spotify.com/v1/tracks/40YQDJrYZFIP24QVfUi9Ar,https://api.spotify.com/v1/audio-analysis/40YQDJrYZFIP24QVfUi9Ar,270680,4
8,0.717,0.335,0,-16.205,1,0.325,0.112,1.22e-05,0.0438,0.288,145.086,audio_features,3RKvplbjJwNmYShXKGv9n1,spotify:track:3RKvplbjJwNmYShXKGv9n1,https://api.spotify.com/v1/tracks/3RKvplbjJwNmYShXKGv9n1,https://api.spotify.com/v1/audio-analysis/3RKvplbjJwNmYShXKGv9n1,152276,3
9,0.532,0.84,2,-4.883,1,0.0478,0.00017,1.99e-05,0.105,0.226,100.014,audio_features,3waX7NcvI94eYOav5qSX5D,spotify:track:3waX7NcvI94eYOav5qSX5D,https://api.spotify.com/v1/tracks/3waX7NcvI94eYOav5qSX5D,https://api.spotify.com/v1/audio-analysis/3waX7NcvI94eYOav5qSX5D,218378,4
