,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.919,0.442,2,-7.948,1,0.155,0.493,0.0,0.233,0.485,110.032,audio_features,5sT2yQrTJbs0aubnGwuuiw,spotify:track:5sT2yQrTJbs0aubnGwuuiw,https://api.spotify.com/v1/tracks/5sT2yQrTJbs0aubnGwuuiw,https://api.spotify.com/v1/audio-analysis/5sT2yQrTJbs0aubnGwuuiw,213892,4
1,0.697,0.525,9,-8.888,1,0.265,0.0155,0.0,0.133,0.515,74.952,audio_features,2Ncpw9DnelyLn1Fri1MvL1,spotify:track:2Ncpw9DnelyLn1Fri1MvL1,https://api.spotify.com/v1/tracks/2Ncpw9DnelyLn1Fri1MvL1,https://api.spotify.com/v1/audio-analysis/2Ncpw9DnelyLn1Fri1MvL1,175961,4
2,0.699,0.255,4,-8.647,0,0.0303,0.405,0.00242,0.0985,0.242,132.031,audio_features,3ppVO2tyWRRznNmONvt7Se,spotify:track:3ppVO2tyWRRznNmONvt7Se,https://api.spotify.com/v1/tracks/3ppVO2tyWRRznNmONvt7Se,https://api.spotify.com/v1/audio-analysis/3ppVO2tyWRRznNmONvt7Se,106333,3
3,0.755,0.503,7,-8.901,0,0.212,0.00428,0.0224,0.126,0.238,137.008,audio_features,1anh2sobuzgjiU2JUIqeay,spotify:track:1anh2sobuzgjiU2JUIqeay,https://api.spotify.com/v1/tracks/1anh2sobuzgjiU2JUIqeay,https://api.spotify.com/v1/audio-analysis/1anh2sobuzgjiU2JUIqeay,84088,4
4,0.482,0.962,5,-3.031,0,0.0999,0.00152,0.0,0.629,0.593,175.075,audio_features,2sPlAS5w8wpAfbxL3l2Ljr,spotify:track:2sPlAS5w8wpAfbxL3l2Ljr,https://api.spotify.com/v1/tracks/2sPlAS5w8wpAfbxL3l2Ljr,https://api.spotify.com/v1/audio-analysis/2sPlAS5w8wpAfbxL3l2Ljr,139200,4
5,0.613,0.688,6,-6.297,1,0.0612,0.224,7.75e-05,0.381,0.302,105.027,audio_features,5WPVwig7Tl6NFJ5BL6ONhd,spotify:track:5WPVwig7Tl6NFJ5BL6ONhd,https://api.spotify.com/v1/tracks/5WPVwig7Tl6NFJ5BL6ONhd,https://api.spotify.com/v1/audio-analysis/5WPVwig7Tl6NFJ5BL6ONhd,164986,4
6,0.765,0.67,10,-5.611,0,0.108,0.0183,0.0,0.098,0.317,86.998,audio_features,44SuougbAb3lvLL8R694DS,spotify:track:44SuougbAb3lvLL8R694DS,https://api.spotify.com/v1/tracks/44SuougbAb3lvLL8R694DS,https://api.spotify.com/v1/audio-analysis/44SuougbAb3lvLL8R694DS,224813,4
7,0.515,0.704,9,-5.25,0,0.206,0.767,0.0,0.415,0.885,91.246,audio_features,0aZnyTWJNgdzYoOiaW8HKG,spotify:track:0aZnyTWJNgdzYoOiaW8HKG,https://api.spotify.com/v1/tracks/0aZnyTWJNgdzYoOiaW8HKG,https://api.spotify.com/v1/audio-analysis/0aZnyTWJNgdzYoOiaW8HKG,217213,3
8,0.914,0.52,2,-8.247,0,0.33,0.483,0.0,0.0937,0.485,90.003,audio_features,6NxpWAcnqCE6J9pVyLZLeQ,spotify:track:6NxpWAcnqCE6J9pVyLZLeQ,https://api.spotify.com/v1/tracks/6NxpWAcnqCE6J9pVyLZLeQ,https://api.spotify.com/v1/audio-analysis/6NxpWAcnqCE6J9pVyLZLeQ,240289,4
9,0.723,0.835,9,-4.619,0,0.0473,0.17,0.0,0.268,0.463,88.984,audio_features,0PJYMfWrcdgliosbUgsf1j,spotify:track:0PJYMfWrcdgliosbUgsf1j,https://api.spotify.com/v1/tracks/0PJYMfWrcdgliosbUgsf1j,https://api.spotify.com/v1/audio-analysis/0PJYMfWrcdgliosbUgsf1j,207573,4
