,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.781,0.594,0,-6.959,0,0.0485,0.0136,0.0,0.162,0.0628,129.895,audio_features,3aQem4jVGdhtg116TmJnHz,spotify:track:3aQem4jVGdhtg116TmJnHz,https://api.spotify.com/v1/tracks/3aQem4jVGdhtg116TmJnHz,https://api.spotify.com/v1/audio-analysis/3aQem4jVGdhtg116TmJnHz,178154,4
1,0.708,0.542,4,-15.046,1,0.12,0.836,0.000218,0.42,0.89,125.132,audio_features,5Ql5MmVcwJ5nvXwGyyeccg,spotify:track:5Ql5MmVcwJ5nvXwGyyeccg,https://api.spotify.com/v1/tracks/5Ql5MmVcwJ5nvXwGyyeccg,https://api.spotify.com/v1/audio-analysis/5Ql5MmVcwJ5nvXwGyyeccg,199734,4
2,0.382,0.805,10,-9.16,0,0.297,0.418,0.000664,0.304,0.289,55.738,audio_features,3cKWkLs2Y5E9rIeglkWUB7,spotify:track:3cKWkLs2Y5E9rIeglkWUB7,https://api.spotify.com/v1/tracks/3cKWkLs2Y5E9rIeglkWUB7,https://api.spotify.com/v1/audio-analysis/3cKWkLs2Y5E9rIeglkWUB7,117443,4
3,0.469,0.943,2,-4.196,1,0.102,6.07e-05,0.00547,0.0717,0.358,134.031,audio_features,46eHxWRKmtYhUHPDRgclt6,spotify:track:46eHxWRKmtYhUHPDRgclt6,https://api.spotify.com/v1/tracks/46eHxWRKmtYhUHPDRgclt6,https://api.spotify.com/v1/audio-analysis/46eHxWRKmtYhUHPDRgclt6,296973,4
4,0.609,0.588,7,-13.835,1,0.573,0.0356,0.675,0.403,0.837,184.037,audio_features,0AfierkBKnqNYLLgzaKg61,spotify:track:0AfierkBKnqNYLLgzaKg61,https://api.spotify.com/v1/tracks/0AfierkBKnqNYLLgzaKg61,https://api.spotify.com/v1/audio-analysis/0AfierkBKnqNYLLgzaKg61,205107,4
5,0.861,0.656,4,-7.867,0,0.425,0.104,0.0,0.0986,0.331,88.967,audio_features,5W8jRrZ6tWrTrqnKRtIQBf,spotify:track:5W8jRrZ6tWrTrqnKRtIQBf,https://api.spotify.com/v1/tracks/5W8jRrZ6tWrTrqnKRtIQBf,https://api.spotify.com/v1/audio-analysis/5W8jRrZ6tWrTrqnKRtIQBf,218210,4
6,0.4,0.571,11,-6.534,0,0.0288,0.468,3.05e-05,0.519,0.146,61.859,audio_features,1V27TTo9FI2sl8xzGr3sCg,spotify:track:1V27TTo9FI2sl8xzGr3sCg,https://api.spotify.com/v1/tracks/1V27TTo9FI2sl8xzGr3sCg,https://api.spotify.com/v1/audio-analysis/1V27TTo9FI2sl8xzGr3sCg,212736,4
7,0.787,0.546,0,-7.094,0,0.0532,0.305,4.55e-05,0.122,0.222,93.05,audio_features,5CzixCxDkRXX9mScCmah8O,spotify:track:5CzixCxDkRXX9mScCmah8O,https://api.spotify.com/v1/tracks/5CzixCxDkRXX9mScCmah8O,https://api.spotify.com/v1/audio-analysis/5CzixCxDkRXX9mScCmah8O,176936,4
8,0.559,0.754,7,-5.509,1,0.0712,0.0153,0.0,0.355,0.303,169.977,audio_features,6hbwFerDj55bMGZZvcInze,spotify:track:6hbwFerDj55bMGZZvcInze,https://api.spotify.com/v1/tracks/6hbwFerDj55bMGZZvcInze,https://api.spotify.com/v1/audio-analysis/6hbwFerDj55bMGZZvcInze,221573,4
9,0.734,0.57,7,-7.066,0,0.133,0.847,2.14e-05,0.112,0.689,129.953,audio_features,3GVkPk8mqxz0itaAriG1L7,spotify:track:3GVkPk8mqxz0itaAriG1L7,https://api.spotify.com/v1/tracks/3GVkPk8mqxz0itaAriG1L7,https://api.spotify.com/v1/audio-analysis/3GVkPk8mqxz0itaAriG1L7,95467,4
10,0.821,0.549,8,-3.591,1,0.0371,0.0437,0.0,0.0737,0.963,100.023,audio_features,6lah2pPQVdTsfoMSHkyYmn,spotify:track:6lah2pPQVdTsfoMSHkyYmn,https://api.spotify.com/v1/tracks/6lah2pPQVdTsfoMSHkyYmn,https://api.spotify.com/v1/audio-analysis/6lah2pPQVdTsfoMSHkyYmn,360507,4
11,0.442,0.625,2,-9.69,1,0.0589,0.355,0.0746,0.11,0.176,108.003,audio_features,1q1Uk6aQvyjavCsnTb5lFH,spotify:track:1q1Uk6aQvyjavCsnTb5lFH,https://api.spotify.com/v1/tracks/1q1Uk6aQvyjavCsnTb5lFH,https://api.spotify.com/v1/audio-analysis/1q1Uk6aQvyjavCsnTb5lFH,256347,4
12,0.532,0.726,4,-5.264,0,0.0267,0.0241,4.18e-05,0.0867,0.319,130.087,audio_features,75qTWvk6QCGRr1V31Q41qz,spotify:track:75qTWvk6QCGRr1V31Q41qz,https://api.spotify.com/v1/tracks/75qTWvk6QCGRr1V31Q41qz,https://api.spotify.com/v1/audio-analysis/75qTWvk6QCGRr1V31Q41qz,260800,4
13,0.395,0.751,9,-6.408,0,0.282,0.649,0.0,0.933,0.694,166.828,audio_features,1YB6cwZZEQzH0mpuPpPP9h,spotify:track:1YB6cwZZEQzH0mpuPpPP9h,https://api.spotify.com/v1/tracks/1YB6cwZZEQzH0mpuPpPP9h,https://api.spotify.com/v1/audio-analysis/1YB6cwZZEQzH0mpuPpPP9h,321214,4
14,0.808,0.83,9,-3.995,0,0.0283,0.613,0.0112,0.198,0.909,102.8,audio_features,72PoJMDfdaw9gGECgA9kTZ,spotify:track:72PoJMDfdaw9gGECgA9kTZ,https://api.spotify.com/v1/tracks/72PoJMDfdaw9gGECgA9kTZ,https://api.spotify.com/v1/audio-analysis/72PoJMDfdaw9gGECgA9kTZ,156200,4
15,0.458,0.757,9,-4.739,0,0.217,0.122,0.0,0.18,0.579,127.954,audio_features,0QBtvO8gDzh7IJHIYFtvt7,spotify:track:0QBtvO8gDzh7IJHIYFtvt7,https://api.spotify.com/v1/tracks/0QBtvO8gDzh7IJHIYFtvt7,https://api.spotify.com/v1/audio-analysis/0QBtvO8gDzh7IJHIYFtvt7,211467,4
16,0.501,0.4,7,-12.231,1,0.032,0.772,0.0264,0.629,0.143,113.99,audio_features,4lMgyfWfk1btZafWBtHBoN,spotify:track:4lMgyfWfk1btZafWBtHBoN,https://api.spotify.com/v1/tracks/4lMgyfWfk1btZafWBtHBoN,https://api.spotify.com/v1/audio-analysis/4lMgyfWfk1btZafWBtHBoN,295160,4
17,0.74,0.596,1,-6.245,0,0.0777,0.119,0.0,0.101,0.82,121.936,audio_features,40HSFJpsSRNDkuxA0IaL34,spotify:track:40HSFJpsSRNDkuxA0IaL34,https://api.spotify.com/v1/tracks/40HSFJpsSRNDkuxA0IaL34,https://api.spotify.com/v1/audio-analysis/40HSFJpsSRNDkuxA0IaL34,144280,4
18,0.486,0.591,1,-8.939,1,0.449,0.0162,0.0,0.212,0.318,96.041,audio_features,2BaXY7rHi4R2dJSxkOlzT9,spotify:track:2BaXY7rHi4R2dJSxkOlzT9,https://api.spotify.com/v1/tracks/2BaXY7rHi4R2dJSxkOlzT9,https://api.spotify.com/v1/audio-analysis/2BaXY7rHi4R2dJSxkOlzT9,192235,4
19,0.727,0.718,9,-6.194,1,0.159,0.0118,0.0,0.504,0.0986,102.025,audio_features,6fB2dO7TQ7eBw4nS1IMJgU,spotify:track:6fB2dO7TQ7eBw4nS1IMJgU,https://api.spotify.com/v1/tracks/6fB2dO7TQ7eBw4nS1IMJgU,https://api.spotify.com/v1/audio-analysis/6fB2dO7TQ7eBw4nS1IMJgU,98168,4
20,0.656,0.708,0,-6.001,1,0.109,0.169,0.0,0.127,0.824,133.779,audio_features,4E6TkulZSnor5RzOkkW32U,spotify:track:4E6TkulZSnor5RzOkkW32U,https://api.spotify.com/v1/tracks/4E6TkulZSnor5RzOkkW32U,https://api.spotify.com/v1/audio-analysis/4E6TkulZSnor5RzOkkW32U,262800,4
21,0.454,0.548,2,-11.618,1,0.0547,0.82,0.356,0.0606,0.5,99.892,audio_features,4WDazmiEd5PyY3taS11VfD,spotify:track:4WDazmiEd5PyY3taS11VfD,https://api.spotify.com/v1/tracks/4WDazmiEd5PyY3taS11VfD,https://api.spotify.com/v1/audio-analysis/4WDazmiEd5PyY3taS11VfD,239001,4
22,0.4,0.259,4,-11.659,1,0.0338,0.917,0.02,0.096,0.178,120.075,audio_features,3btjaxQXabhdWQ9fCvcLxe,spotify:track:3btjaxQXabhdWQ9fCvcLxe,https://api.spotify.com/v1/tracks/3btjaxQXabhdWQ9fCvcLxe,https://api.spotify.com/v1/audio-analysis/3btjaxQXabhdWQ9fCvcLxe,174370,4
23,0.639,0.755,0,-5.661,1,0.0488,0.0658,2.09e-05,0.33,0.506,87.062,audio_features,7ecOjXV0WlewEXaRo2kLNn,spotify:track:7ecOjXV0WlewEXaRo2kLNn,https://api.spotify.com/v1/tracks/7ecOjXV0WlewEXaRo2kLNn,https://api.spotify.com/v1/audio-analysis/7ecOjXV0WlewEXaRo2kLNn,287013,4
24,0.838,0.573,0,-5.667,1,0.275,0.0496,0.0,0.121,0.687,160.963,audio_features,6P5ulGKtC4x6RnFbzfpq8O,spotify:track:6P5ulGKtC4x6RnFbzfpq8O,https://api.spotify.com/v1/tracks/6P5ulGKtC4x6RnFbzfpq8O,https://api.spotify.com/v1/audio-analysis/6P5ulGKtC4x6RnFbzfpq8O,93799,4
25,0.643,0.535,0,-6.795,0,0.0941,0.648,0.00213,0.0766,0.564,82.193,audio_features,74HYrIbnpc2xKCTenv5qKM,spotify:track:74HYrIbnpc2xKCTenv5qKM,https://api.spotify.com/v1/tracks/74HYrIbnpc2xKCTenv5qKM,https://api.spotify.com/v1/audio-analysis/74HYrIbnpc2xKCTenv5qKM,289720,4
26,0.247,0.299,9,-6.083,1,0.0315,0.899,0.0,0.131,0.172,177.115,audio_features,35ovElsgyAtQwYPYnZJECg,spotify:track:35ovElsgyAtQwYPYnZJECg,https://api.spotify.com/v1/tracks/35ovElsgyAtQwYPYnZJECg,https://api.spotify.com/v1/audio-analysis/35ovElsgyAtQwYPYnZJECg,196520,4
27,0.447,0.711,10,-6.343,0,0.438,0.0842,2.33e-06,0.485,0.279,175.422,audio_features,5uLvcpsm6FwKqLsaNBXEjS,spotify:track:5uLvcpsm6FwKqLsaNBXEjS,https://api.spotify.com/v1/tracks/5uLvcpsm6FwKqLsaNBXEjS,https://api.spotify.com/v1/audio-analysis/5uLvcpsm6FwKqLsaNBXEjS,217582,3
28,0.713,0.547,4,-6.968,0,0.323,0.00223,0.0,0.192,0.326,137.215,audio_features,11wT4KLcZ1LEngx6Himubj,spotify:track:11wT4KLcZ1LEngx6Himubj,https://api.spotify.com/v1/tracks/11wT4KLcZ1LEngx6Himubj,https://api.spotify.com/v1/audio-analysis/11wT4KLcZ1LEngx6Himubj,203212,4
29,0.493,0.653,0,-5.666,0,0.0466,0.269,0.0,0.511,0.852,142.347,audio_features,5B0kgjHULYJhAQkK5XsMoC,spotify:track:5B0kgjHULYJhAQkK5XsMoC,https://api.spotify.com/v1/tracks/5B0kgjHULYJhAQkK5XsMoC,https://api.spotify.com/v1/audio-analysis/5B0kgjHULYJhAQkK5XsMoC,121573,4
30,0.794,0.659,2,-7.951,1,0.105,0.124,0.0,0.11,0.146,141.652,audio_features,1f0mznZ7Wem8IVz1burk9z,spotify:track:1f0mznZ7Wem8IVz1burk9z,https://api.spotify.com/v1/tracks/1f0mznZ7Wem8IVz1burk9z,https://api.spotify.com/v1/audio-analysis/1f0mznZ7Wem8IVz1burk9z,193507,4
31,0.754,0.502,1,-7.859,1,0.0371,0.566,0.000616,0.104,0.413,120.015,audio_features,1wuHkRdP7QBW75930TSSZa,spotify:track:1wuHkRdP7QBW75930TSSZa,https://api.spotify.com/v1/tracks/1wuHkRdP7QBW75930TSSZa,https://api.spotify.com/v1/audio-analysis/1wuHkRdP7QBW75930TSSZa,109200,4
32,0.795,0.509,4,-12.438,0,0.0519,0.602,0.0,0.515,0.942,130.018,audio_features,6MODDdkIMFmzCRYfSujN8u,spotify:track:6MODDdkIMFmzCRYfSujN8u,https://api.spotify.com/v1/tracks/6MODDdkIMFmzCRYfSujN8u,https://api.spotify.com/v1/audio-analysis/6MODDdkIMFmzCRYfSujN8u,188213,4
