,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.923,0.366,1,-14.79,0,0.243,0.00971,0.000209,0.0999,0.659,139.988,audio_features,357vSB9jKl4zoth6jEKwx4,spotify:track:357vSB9jKl4zoth6jEKwx4,https://api.spotify.com/v1/tracks/357vSB9jKl4zoth6jEKwx4,https://api.spotify.com/v1/audio-analysis/357vSB9jKl4zoth6jEKwx4,250653,4
1,0.401,0.483,10,-6.209,1,0.0376,0.599,0.0,0.311,0.8,169.18,audio_features,7K7vrylTNyESvrth5iFq2q,spotify:track:7K7vrylTNyESvrth5iFq2q,https://api.spotify.com/v1/tracks/7K7vrylTNyESvrth5iFq2q,https://api.spotify.com/v1/audio-analysis/7K7vrylTNyESvrth5iFq2q,212840,3
2,0.654,0.303,5,-13.943,0,0.126,0.755,0.159,0.0957,0.168,160.095,audio_features,0FfqyjhB6Kspvit1oOo7ax,spotify:track:0FfqyjhB6Kspvit1oOo7ax,https://api.spotify.com/v1/tracks/0FfqyjhB6Kspvit1oOo7ax,https://api.spotify.com/v1/audio-analysis/0FfqyjhB6Kspvit1oOo7ax,151537,4
3,0.569,0.735,9,-5.901,1,0.0509,0.0049,0.0,0.372,0.274,140.159,audio_features,3Xmos1e1mpsAv8z1mQr1u6,spotify:track:3Xmos1e1mpsAv8z1mQr1u6,https://api.spotify.com/v1/tracks/3Xmos1e1mpsAv8z1mQr1u6,https://api.spotify.com/v1/audio-analysis/3Xmos1e1mpsAv8z1mQr1u6,116582,4
4,0.874,0.689,4,-9.225,0,0.37,0.225,0.0,0.0983,0.968,154.893,audio_features,0ZVXMFHIItZ11a46HZMlbn,spotify:track:0ZVXMFHIItZ11a46HZMlbn,https://api.spotify.com/v1/tracks/0ZVXMFHIItZ11a46HZMlbn,https://api.spotify.com/v1/audio-analysis/0ZVXMFHIItZ11a46HZMlbn,117085,4
5,0.859,0.457,9,-7.75,0,0.104,0.262,0.0101,0.0941,0.839,95.018,audio_features,7JxTp4HrI99hr6L3VMCZbj,spotify:track:7JxTp4HrI99hr6L3VMCZbj,https://api.spotify.com/v1/tracks/7JxTp4HrI99hr6L3VMCZbj,https://api.spotify.com/v1/audio-analysis/7JxTp4HrI99hr6L3VMCZbj,189667,4
6,0.817,0.825,11,-2.9,0,0.0384,0.106,2.54e-05,0.114,0.655,104.984,audio_features,1hYQUY06GbO7YR8QeO7Qdk,spotify:track:1hYQUY06GbO7YR8QeO7Qdk,https://api.spotify.com/v1/tracks/1hYQUY06GbO7YR8QeO7Qdk,https://api.spotify.com/v1/audio-analysis/1hYQUY06GbO7YR8QeO7Qdk,199000,4
7,0.564,0.798,7,-5.392,1,0.227,0.274,3.44e-05,0.129,0.669,90.67,audio_features,610FzmkhFSsORpECZbjT4X,spotify:track:610FzmkhFSsORpECZbjT4X,https://api.spotify.com/v1/tracks/610FzmkhFSsORpECZbjT4X,https://api.spotify.com/v1/audio-analysis/610FzmkhFSsORpECZbjT4X,258787,5
8,0.634,0.649,6,-7.505,0,0.0486,0.0315,0.0,0.482,0.509,90.482,audio_features,0ua0Go4NN4Td7l0Zre6Ce3,spotify:track:0ua0Go4NN4Td7l0Zre6Ce3,https://api.spotify.com/v1/tracks/0ua0Go4NN4Td7l0Zre6Ce3,https://api.spotify.com/v1/audio-analysis/0ua0Go4NN4Td7l0Zre6Ce3,237507,4
9,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,audio_features,5IgjP7X4th6nMNDh4akUHb,spotify:track:5IgjP7X4th6nMNDh4akUHb,https://api.spotify.com/v1/tracks/5IgjP7X4th6nMNDh4akUHb,https://api.spotify.com/v1/audio-analysis/5IgjP7X4th6nMNDh4akUHb,184613,4
10,0.518,0.916,3,-3.858,1,0.0454,0.000148,0.0,0.291,0.646,109.864,audio_features,2l57cfmCnOkwNX1tky02n1,spotify:track:2l57cfmCnOkwNX1tky02n1,https://api.spotify.com/v1/tracks/2l57cfmCnOkwNX1tky02n1,https://api.spotify.com/v1/audio-analysis/2l57cfmCnOkwNX1tky02n1,238880,4
11,0.17,0.89,4,-3.581,0,0.0521,0.0166,0.000102,0.107,0.233,178.464,audio_features,0C9d07g8OTaJeZVVmjN0pS,spotify:track:0C9d07g8OTaJeZVVmjN0pS,https://api.spotify.com/v1/tracks/0C9d07g8OTaJeZVVmjN0pS,https://api.spotify.com/v1/audio-analysis/0C9d07g8OTaJeZVVmjN0pS,201987,4
12,0.428,0.297,3,-15.866,1,0.37,0.884,9.93e-05,0.129,0.488,185.892,audio_features,1Lxzr6FJdH4FgMe3Hxpcpv,spotify:track:1Lxzr6FJdH4FgMe3Hxpcpv,https://api.spotify.com/v1/tracks/1Lxzr6FJdH4FgMe3Hxpcpv,https://api.spotify.com/v1/audio-analysis/1Lxzr6FJdH4FgMe3Hxpcpv,125106,4
13,0.424,0.661,2,-5.547,1,0.0425,0.521,1.62e-06,0.0719,0.384,111.762,audio_features,0M7mWKqwTIaVjYyxfZmtTa,spotify:track:0M7mWKqwTIaVjYyxfZmtTa,https://api.spotify.com/v1/tracks/0M7mWKqwTIaVjYyxfZmtTa,https://api.spotify.com/v1/audio-analysis/0M7mWKqwTIaVjYyxfZmtTa,195533,4
14,0.673,0.816,9,-3.483,1,0.0336,0.187,0.0,0.26,0.906,129.953,audio_features,5E74WZEkf6mKyzoQPzPzWO,spotify:track:5E74WZEkf6mKyzoQPzPzWO,https://api.spotify.com/v1/tracks/5E74WZEkf6mKyzoQPzPzWO,https://api.spotify.com/v1/audio-analysis/5E74WZEkf6mKyzoQPzPzWO,171367,1
15,0.779,0.56,10,-7.564,0,0.253,0.258,0.0,0.241,0.421,142.032,audio_features,1r0faljjM2b876iNoaDUh5,spotify:track:1r0faljjM2b876iNoaDUh5,https://api.spotify.com/v1/tracks/1r0faljjM2b876iNoaDUh5,https://api.spotify.com/v1/audio-analysis/1r0faljjM2b876iNoaDUh5,287320,4
16,0.745,0.872,6,-6.853,0,0.216,0.102,0.0,0.541,0.706,98.302,audio_features,4iYsNs5tfOynmYikfPKqV4,spotify:track:4iYsNs5tfOynmYikfPKqV4,https://api.spotify.com/v1/tracks/4iYsNs5tfOynmYikfPKqV4,https://api.spotify.com/v1/audio-analysis/4iYsNs5tfOynmYikfPKqV4,286600,4
17,0.7,0.909,1,-4.478,1,0.0917,0.0421,3.15e-05,0.225,0.862,108.972,audio_features,4Wb6sFctwWXrWPczp0GUma,spotify:track:4Wb6sFctwWXrWPczp0GUma,https://api.spotify.com/v1/tracks/4Wb6sFctwWXrWPczp0GUma,https://api.spotify.com/v1/audio-analysis/4Wb6sFctwWXrWPczp0GUma,205800,4
18,0.676,0.618,6,-8.987,0,0.046,0.0361,0.0,0.199,0.899,173.955,audio_features,2JJSGhPpATm8lXeYjD95fw,spotify:track:2JJSGhPpATm8lXeYjD95fw,https://api.spotify.com/v1/tracks/2JJSGhPpATm8lXeYjD95fw,https://api.spotify.com/v1/audio-analysis/2JJSGhPpATm8lXeYjD95fw,221227,4
19,0.551,0.749,7,-5.364,0,0.0479,0.193,0.00179,0.26,0.881,202.978,audio_features,3HxF1gZp1HCL6xoxupeYPP,spotify:track:3HxF1gZp1HCL6xoxupeYPP,https://api.spotify.com/v1/tracks/3HxF1gZp1HCL6xoxupeYPP,https://api.spotify.com/v1/audio-analysis/3HxF1gZp1HCL6xoxupeYPP,316108,4
20,0.152,0.0408,3,-23.961,1,0.0414,0.968,0.763,0.12,0.0341,68.221,audio_features,2udNuNy4EW63blI1io1fPT,spotify:track:2udNuNy4EW63blI1io1fPT,https://api.spotify.com/v1/tracks/2udNuNy4EW63blI1io1fPT,https://api.spotify.com/v1/audio-analysis/2udNuNy4EW63blI1io1fPT,307507,4
21,0.729,0.856,10,-4.164,0,0.035,0.0658,0.00832,0.0691,0.804,116.467,audio_features,2m0M7YqCy4lXfedh18qd8N,spotify:track:2m0M7YqCy4lXfedh18qd8N,https://api.spotify.com/v1/tracks/2m0M7YqCy4lXfedh18qd8N,https://api.spotify.com/v1/audio-analysis/2m0M7YqCy4lXfedh18qd8N,285093,4
22,0.809,0.541,11,-6.451,0,0.273,0.422,0.0,0.254,0.556,124.842,audio_features,4Vyga3Ljl7s2M9FrMyjdXX,spotify:track:4Vyga3Ljl7s2M9FrMyjdXX,https://api.spotify.com/v1/tracks/4Vyga3Ljl7s2M9FrMyjdXX,https://api.spotify.com/v1/audio-analysis/4Vyga3Ljl7s2M9FrMyjdXX,84506,4
23,0.54,0.966,10,-3.884,0,0.0637,0.000122,0.000626,0.391,0.521,94.986,audio_features,4bPrKGqQKiBmf49XB4F4H5,spotify:track:4bPrKGqQKiBmf49XB4F4H5,https://api.spotify.com/v1/tracks/4bPrKGqQKiBmf49XB4F4H5,https://api.spotify.com/v1/audio-analysis/4bPrKGqQKiBmf49XB4F4H5,235853,4
24,0.288,0.683,10,-7.462,0,0.0469,0.18,0.845,0.118,0.0707,186.008,audio_features,6s0Ap55P7KWI0gPYWPTvRk,spotify:track:6s0Ap55P7KWI0gPYWPTvRk,https://api.spotify.com/v1/tracks/6s0Ap55P7KWI0gPYWPTvRk,https://api.spotify.com/v1/audio-analysis/6s0Ap55P7KWI0gPYWPTvRk,251204,3
25,0.888,0.623,8,-6.394,1,0.141,0.2,1.63e-05,0.0747,0.747,103.033,audio_features,2a6AVT30VFGQ1ceA6PE3cA,spotify:track:2a6AVT30VFGQ1ceA6PE3cA,https://api.spotify.com/v1/tracks/2a6AVT30VFGQ1ceA6PE3cA,https://api.spotify.com/v1/audio-analysis/2a6AVT30VFGQ1ceA6PE3cA,209709,4
