name,artist,id
Take My Breath Away - Original Edit,Toneshifterz,4tD9Pf0qNvjGRYuKGSg9hH
Bitch - Original Edit,Frequencerz,0uJMQoYXKrkwxvrL07sOeL
Mammoth - Coone Remix,Dimitri Vegas & Like Mike,5fiQg5xPHHMyDAXy8uGYBH
Let Her Go,Passenger,7DFNE7NO0raLIUbgzY2rzm
Eternalize (Hardbass 2012 Anthem) - Original Mix,Headhunterz,4gW4VimtMNAndg0skoA0Mc
Our Music - Original Mix,D-Block & S-te-Fan,6RUU3Gx1CXoISGFKOwXzap
Beat On My Drum,Coone,1PVVeEYOWJ7YoNiExkeaij
The Undefeated - Hard Driver Remix,Coone,5t2DJRwwPehQAQadoHSgo8
You Make The Change - Original Mix,Zatox,2MH3a3OYlMWo5EJuE55PDX
D.E.C.I.B.E.L. (official Decibel anthem 2012) - Original Mix,Zatox,2B1jWeJLF5yWH84nQt4PQ2
Under Attack - (Official Bassleader 2012 anthem),Hard Driver,0GuZCZrJYUU7VDntJmSOgv
Takin' Off - Edit,D-Block & S-te-Fan,6DrZPCLfSMTJW7WBJN6L1r
Survival Of The Fittest (Defqon.1 Anthem 2014),Coone,1cefIiRPJkETZtZBCrZVTV
Check out the Drop,Zatox,6cOZjczCsQYcNmt2QpIb4b
State Of Perfection,Hard Driver,2RWVyFppTUjidh6eeSS1Li
Night After Night - Zany Radio Edit,Noisecontrollers,5ptkEtEAuvPZoz2WrbP1cT
We Can Escape (Intents Anthem 2012) - Radio Edit,Brennan Heart,3HH3sB50haVzs3FcK90yTX
Heartbeat In The Brain,The World Is A Beautiful Place & I Am No Longer Afraid To Die,5DmyyussQinlGPT8d8nQpS
