name,artist,id
F With U (feat. Ty Dolla $ign),Kid Ink,6mLfR7fHVDcCKpLwGLWCWw
Rollin' Like A Stoner,VIC MENSA,5gdy0ytFSBQykiYc5NmhJL
Champion (feat. Travis Scott),NAV,6nO3tr47nr2P7f3hXb8JIo
LEGENDARY (feat. J. Cole),Joey Bada$$,5csdNgCD64XzhsyoRlhzsa
Drinks On Us,Mike WiLL Made-It,3Z4iF2sFcW63WclmUYd7IE
I Like Tuh,Carnage,5MGeW5mHnqeJiM0NPBbkEZ
Heebiejeebies - Bonus,Aminé,32xx0fAv3CIeGmNaWTHvEF
Body,Sean Paul,3PGubBdFfQSHAHsXb068eG
Memory Lane (Sittin' in da Park),Nas,1B5BfvGVQ5fPtDN2K8tUdy
Glow Like Dat,Rich Brian,7MXcmkmyxEYAJf04cbqKoI
Pull The Trigger,Russ,57evRskKe47TvzG96SLLTM
Crew (feat. Brent Faiyaz & Shy Glizzy),GoldLink,15EPc80XuFrb2LmOzGjuRg
Reborn,KIDS SEE GHOSTS,4RVbK6cV0VqWdpCDcx3hiT
Batman,Jaden,3aC9IY1oAAb0WeFeYebriD
Down for You,Russ,52C7YvqXdiIHD9qLK5SHrr
What Do You Do (feat. NAV),A$AP Ferg,4gpmL5xSZeHssgyIP3UuPS
The Law (feat. Mac Miller & Rapsody),Ab-Soul,17vQTNbvhpvi92qOnDOFHB
Playinwitme (feat. Kehlani),KYLE,4F1yvJfQ7gJkrcgFJQDjOr
Everyday We Lit (feat. PnB Rock),YFN Lucci,4PzovBqgnSHKd8opsP7IVM
"Perfect Pint (feat. Kendrick Lamar, Gucci Mane & Rae Sremmurd)",Mike WiLL Made-It,3A2OHirUAlQp2x73BJlEDA
