name,artist,id
Weary,Solange,7zbX1txfcs42K2PlhFJNNE
Nightmare,Offset,7LAhKXDNWwq3CmnFP3UIOP
HEARD ABOUT US,The Carters,4imKIkVUzP2Qmf4QeMGrPQ
Why,Roy Woods,4XnajLeZt02RnYg4k8kXpm
Vault,Keyshia Cole,70HkIp80HSqDJsXY1oUd1x
King City,Majid Jordan,1X1y6CQmAejhN8oeFtouje
Someone to Drink With,Russ,0fyHfv7X0MRv6B2EfwmW5G
When We,Tank,2HWelwHQS4EdRqIycZOc3O
Show Me (feat. Jeremih),Omarion,7Fj8XxQUekUiPfgwX8hIIW
Indestructible,Mary J. Blige,6EfioL7gSa7URn35dlJgnE
Frontline,Kelela,6b3KUNSmJL1qIfi1hF1G6Y
Afraid,Xavier Omär,2zIkPM6r0yEjWt18qG3jP3
B2L,LeToya Luckett,72ISsdXp1ZBLGdhhnuPWtj
Sky Walker (feat. Travis Scott),Miguel,5WoaF1B5XIEnWfmb5NZikf
The Makings Of You,Tamar Braxton,04zTo5p0wVzQXXSKLuLSOh
Kill Jill (feat. Killer Mike & Jeezy),Big Boi,2TYyvCJgikY7B2AfHPE67M
Get You - Recorded at Spotify Studios NYC,Miguel,6YZQx90VEuzf0lRY9TYh7j
Wing$,Macklemore & Ryan Lewis,5n5uyFpfopa4mNdSN0gTaH
Breakdown,Ar'mon & Trey,70raPTKkCguuuydqmbYoDf
Body,Syd,0IaiJbZebXLqfetAkMEZzU
